t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,65045705.981945,8781.33791930621,1.39729676255212e-07,169.358229595799,0,0.0197587108205354
35,53887266.6738966,NaN,NaN,NaN,NaN,NaN
40,NaN,10340875.5128419,NaN,NaN,NaN,NaN
70,54478094.1214766,NaN,NaN,NaN,NaN,NaN
85,NaN,8181382.41153283,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,214.866174090591,NaN,NaN
100,34061109.1432957,NaN,NaN,NaN,NaN,NaN
150,5098932.86161925,1423783.86946271,NaN,NaN,NaN,NaN
200,4271667.48373805,4905241.1036847,0.000558350466009107,484.771697839088,NaN,NaN
250,1255462.85288653,NaN,NaN,NaN,NaN,0.0141335284488143
300,1059310.28833765,668173.050545269,NaN,171.291364518232,NaN,NaN
350,468740.604014867,210052.389253338,NaN,NaN,NaN,NaN
400,NaN,NaN,5.05059082054169e-05,106.856675174432,1.81082738664655e-06,NaN
450,78796.5760068568,28250.2407621323,NaN,NaN,NaN,NaN
500,NaN,15837.4779953201,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,96.4050110686396,NaN,0.0263316461613319
600,NaN,11084.5648554653,NaN,NaN,NaN,NaN
650,NaN,NaN,2.88672648103785e-06,NaN,NaN,NaN
700,NaN,NaN,NaN,222.592045390996,NaN,NaN
750,NaN,14711.164783321,NaN,NaN,3.17766176694712e-06,NaN
850,NaN,NaN,NaN,NaN,NaN,0.0190097677802612
900,NaN,NaN,2.00867978021337e-06,412.292830966564,NaN,NaN
1000,NaN,NaN,9.66066665106671e-07,308.62731985853,6.81698096086942e-06,0.0118170690564524
1500,NaN,NaN,1.5661462815252e-06,180.187047636214,3.67371927795159e-06,0.0348745397725366
2000,NaN,NaN,NaN,NaN,2.61358118359317e-06,0.0105132837555861
2500,NaN,NaN,NaN,NaN,4.73347858200849e-06,0.0170973388666913
3000,NaN,NaN,NaN,NaN,3.93368658353723e-06,0.0112579569696649
3500,NaN,NaN,NaN,NaN,2.28198428972804e-06,NaN
4500,NaN,NaN,NaN,NaN,4.25308662921785e-06,NaN
5500,NaN,NaN,NaN,NaN,3.31298952247972e-06,NaN
6000,NaN,NaN,NaN,NaN,1.82968420855002e-06,NaN
7500,NaN,NaN,NaN,NaN,1.36986909972275e-06,NaN
8500,NaN,NaN,NaN,NaN,5.36515941243915e-07,NaN
