t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,104651578.660964,6507.33812221663,2.69664589744004e-08,113.926350519611,0,0.0287224070922851
35,NaN,41087663.2407181,NaN,NaN,NaN,NaN
40,562323.878899319,NaN,NaN,NaN,NaN,NaN
70,NaN,14474808.989536,NaN,NaN,NaN,NaN
85,77128.3524846998,NaN,NaN,NaN,NaN,NaN
100,NaN,6111445.23917666,NaN,NaN,NaN,NaN
150,5082.15423390797,1630543.51483615,0.000130008489980404,338.592215136186,NaN,NaN
200,2254.25507534442,163319.724806554,NaN,NaN,NaN,NaN
250,1934.73702053629,11402.0771384193,NaN,NaN,NaN,0.0119171549808325
300,1063.52832672352,21192.6962883127,NaN,250.449227166484,NaN,NaN
350,NaN,15706.1618802657,3.06924252991299e-06,NaN,NaN,NaN
400,1409.26962513531,12941.6059097891,NaN,NaN,1.26430832174447e-06,NaN
450,NaN,NaN,NaN,102.975316673106,NaN,NaN
500,1610.14332856894,14266.3685205017,4.54236551170425e-06,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,0.0149153358477699
600,NaN,12494.3093956669,NaN,167.48374064127,NaN,NaN
750,NaN,NaN,6.02727821670541e-07,NaN,NaN,NaN
800,NaN,NaN,NaN,257.317760375788,NaN,0.0194471184803884
850,NaN,NaN,NaN,NaN,4.33453489946768e-06,NaN
1000,NaN,NaN,2.17608911538983e-06,134.736720583665,NaN,0.0110872082958736
1500,NaN,NaN,2.77858568932494e-06,164.510117293769,2.98445289827859e-06,0.0347048950192577
2000,NaN,NaN,NaN,135.579045350275,3.84453786136741e-06,0.0173677061451883
2500,NaN,NaN,NaN,246.510192350705,2.79636822440497e-06,0.0184530429369346
3000,NaN,NaN,NaN,NaN,1.73189285272246e-06,0.0218389460176872
4000,NaN,NaN,NaN,NaN,1.46364885650401e-06,NaN
4500,NaN,NaN,NaN,NaN,2.72353780967809e-06,NaN
5500,NaN,NaN,NaN,NaN,3.87846448439438e-06,NaN
7000,NaN,NaN,NaN,NaN,1.4608465728985e-06,NaN
8500,NaN,NaN,NaN,NaN,1.08644610667229e-06,NaN
