t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,33530174.4742805,111.348642621062,1.42909781739132e-07,101.388253411977,0,0.0199397185264529
80,NaN,NaN,NaN,165.179546282737,NaN,NaN
100,35978294.9606665,NaN,NaN,NaN,NaN,NaN
150,NaN,368461.924986074,NaN,118.030062989381,NaN,NaN
200,NaN,NaN,0.00026585138559863,NaN,NaN,NaN
250,26766314.6528093,NaN,NaN,178.487160675632,NaN,NaN
350,17674389.6018938,225003.379497499,NaN,363.205872772047,NaN,0.0196829546190131
400,NaN,NaN,NaN,NaN,5.31847173217242e-07,NaN
450,NaN,NaN,7.39027264728229e-05,140.007451213045,NaN,NaN
500,11195345.4098533,NaN,NaN,NaN,NaN,NaN
550,NaN,123630.917541386,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,170.395734057584,NaN,NaN
650,11630490.8016519,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,0.0167209984789776
750,NaN,63910.3094429351,8.38544042441817e-05,109.537069275755,NaN,NaN
800,9364094.59159158,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,1.23598382374227e-06,NaN
950,NaN,63696.0744828818,NaN,152.658992990652,NaN,NaN
1000,3570904.32116246,62891.2795816834,3.52310932142533e-05,181.870378179457,NaN,0.0105874356635934
1500,1608842.42824714,4476.49562844899,8.34670748613533e-06,NaN,5.9092748220167e-06,0.0253096388119182
2000,266406.650476514,3284.58109098001,2.04653415711723e-06,NaN,7.05082186276749e-06,0.0437691378297809
2500,NaN,823.059698499354,NaN,NaN,3.082892065182e-06,0.020842210952412
3000,NaN,911.387202692845,NaN,NaN,2.21768121109771e-06,0.0261442250035451
3500,NaN,NaN,NaN,NaN,1.66124027750115e-06,0.0176284802148873
4000,NaN,NaN,NaN,NaN,3.97864262033648e-06,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.0102714249257197
5000,NaN,NaN,NaN,NaN,2.46577584240908e-06,NaN
5500,NaN,NaN,NaN,NaN,NaN,0.0141099009227312
6000,NaN,NaN,NaN,NaN,1.52231395696748e-06,NaN
7500,NaN,NaN,NaN,NaN,8.63111231679628e-07,NaN
8500,NaN,NaN,NaN,NaN,2.14753571437113e-07,NaN
