t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,116904144.591181,11701.0952277947,1.72071426575218e-07,257.475588591066,0,0.0212024703152359
60,NaN,2794532.55286576,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,287.381324095242,NaN,NaN
80,36705519.519404,NaN,NaN,NaN,NaN,NaN
150,15987924.1962585,4058123.32547884,NaN,175.837182896434,NaN,NaN
200,NaN,6106078.73427593,NaN,NaN,NaN,NaN
250,10329611.3734725,869467.881762946,0.000441085184905829,224.134995798367,NaN,NaN
300,NaN,NaN,NaN,152.795021694114,NaN,NaN
350,9652160.00580256,669519.046304815,NaN,NaN,NaN,0.0100855238732857
400,NaN,NaN,NaN,NaN,2.28071952023997e-06,NaN
450,NaN,811238.606509028,0.000221445795184629,258.987326109378,NaN,NaN
500,1470933.85748055,NaN,NaN,NaN,NaN,NaN
550,NaN,216389.282438357,NaN,191.297436832527,NaN,NaN
650,1230500.70791349,82838.8833410187,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,235.821639051116,NaN,0.015690247217006
750,NaN,NaN,2.89313592876363e-05,NaN,2.4862368913682e-06,NaN
800,514278.492820193,37103.1244184812,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,163.500133894736,NaN,NaN
950,NaN,67466.5113272984,NaN,NaN,NaN,NaN
1000,NaN,16041.5672189834,4.91599584991447e-06,145.047655304834,8.45403703854617e-06,0.0253839574243547
1500,NaN,NaN,1.75527257706337e-06,NaN,1.95055242247951e-05,0.0132096643942683
2000,NaN,NaN,1.11582924824748e-06,NaN,7.35264151187616e-06,0.0288267419790084
2500,NaN,NaN,NaN,NaN,3.53068117484834e-06,0.00954426083044795
3000,NaN,NaN,NaN,NaN,6.38634961288691e-06,NaN
3500,NaN,NaN,NaN,NaN,5.19674170480981e-06,0.0212282348078742
4500,NaN,NaN,NaN,NaN,1.32031856060562e-06,0.0311970531157939
5500,NaN,NaN,NaN,NaN,2.51122272231901e-06,NaN
6000,NaN,NaN,NaN,NaN,2.17978935553461e-06,NaN
7500,NaN,NaN,NaN,NaN,2.12968617009323e-06,NaN
8500,NaN,NaN,NaN,NaN,1.52797780118439e-06,NaN
