t,Compound_2_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_13_Obs,Compound_14_Obs
0,1.83157255215606,1.93671845975443,0.72495112425901,-1.07554249766954,1.71022168932259,1.81938512319178,1.49239856573841,-2.31561041527345,-1.74334511266992
7,NaN,39.9058176937865,NaN,NaN,NaN,NaN,NaN,42.6153881775658,NaN
7.5,NaN,NaN,0.128926655463495,NaN,NaN,NaN,NaN,NaN,40.2506018221702
8.5,NaN,NaN,NaN,41.6641008209703,NaN,1.18022956857421,NaN,NaN,NaN
10,1.61351132403316,NaN,NaN,NaN,1.66446437121622,NaN,3.56308697276192,NaN,NaN
15,NaN,40.0007086481554,3.56845645843565,38.9569323355152,NaN,1.59207080671618,NaN,57.5619702176553,37.7594197618307
20,1.87993888168503,36.8886973060139,NaN,NaN,2.33066654032113,NaN,5.79203860757236,55.1271626226657,NaN
25,NaN,NaN,7.64642522385756,31.7216679425245,NaN,3.43813299745799,NaN,NaN,37.6192402966865
30,NaN,36.5304496852219,7.29136427483498,NaN,3.44932424523856,NaN,11.7551981045943,56.1377794782675,31.9269401970382
35,3.17998860732735,NaN,NaN,26.6623292486716,NaN,3.63082116190331,NaN,54.4841424938716,NaN
40,NaN,30.8166709553581,8.77207724977058,NaN,NaN,NaN,12.7868690198292,NaN,23.4188545484818
45,5.15460456461368,NaN,NaN,20.2702449979802,5.79431886875259,4.98849419591917,NaN,45.6904279653725,NaN
50,NaN,25.3678458095418,8.30177751599352,NaN,NaN,NaN,NaN,NaN,18.2160767811438
55,NaN,NaN,NaN,NaN,NaN,NaN,15.6964505204798,37.8619461250648,NaN
60,8.03932964016923,21.4591776443944,NaN,15.3989869264325,7.53285366508405,7.3228778227941,NaN,NaN,16.3213850463793
65,NaN,NaN,6.8949081918,NaN,NaN,NaN,NaN,35.5921842775867,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,14.4976943582686,NaN,NaN
75,NaN,19.8074737027206,NaN,7.99594867567382,7.96457568853588,8.03858761523836,NaN,NaN,13.1838567662145
80,8.67125872755514,NaN,5.59199284290645,NaN,NaN,NaN,NaN,24.0867394025415,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,13.3322097070433,NaN,NaN
90,NaN,15.2850346834076,NaN,8.8478537757085,NaN,7.98296435460288,NaN,NaN,7.60305645615738
95,8.36823948175787,NaN,4.64352163116911,NaN,7.44603052534603,NaN,NaN,17.3444083390287,NaN
100,7.0660644856529,17.0947091920927,3.76581296687289,6.81800059012573,7.28781662003811,7.42591093160433,10.5131097848924,15.0494215461404,6.79274712312298
150,4.58368396422508,16.3203900207766,2.69756051776785,8.2189526105606,5.16285323293567,5.06688417617552,7.58073956158229,18.3665830719734,8.31567711301271
200,5.06369607737217,NaN,NaN,NaN,4.08285305984154,4.3912629816421,6.60665130476761,15.5145680495805,7.6419944003945
