t,Compound_2_Obs,Compound_9_Obs
0,0.446556366818072,0.446553712185069
20,NaN,0.7410250207466
25,0.758051548868245,NaN
35,NaN,0.577808484582685
45,0.752596353373042,NaN
55,NaN,0.534901414807874
70,0.667798087829858,NaN
80,NaN,0.548597044825326
100,0.597685721066139,0.467284893777847
150,0.629310351094115,0.48539901249701
200,0.509697404837248,0.434076939715562
250,0.616841166322508,0.545556497942056
300,0.6017447635621,0.392710505537418
350,0.512562214816223,0.442836189244273
450,0.446986493744692,NaN
