t,Compound_3_Obs,Compound_4_Obs
0,0.00933705756598873,0.0013561350720569
10,NaN,1.48037251964722
20,0.415615617167415,NaN
25,NaN,0.178260140936086
40,0.144720860502558,0.0908717553488637
55,NaN,0.155156413782898
60,0.29646208814449,NaN
70,NaN,0.164385886275963
80,0.615386037756899,NaN
90,NaN,0.304365660436184
100,1.38835205660854,0.38844241545968
150,2.65370378312051,0.510552454745548
200,2.58013145355147,0.631842025489345
250,3.06721805891415,NaN
300,2.15978119174573,NaN
350,2.72588436466322,NaN
400,2.92666405515016,NaN
