t,Compound_13_Obs,Compound_14_Obs
0,0.128883594060361,0.131133932065463
6,NaN,85.9429828049232
8.5,106.607175491315,NaN
10,NaN,72.1599440880071
15,81.5094837247213,NaN
20,NaN,71.4389784657271
25,102.733006499049,61.4379795371989
30,NaN,56.0972379056212
35,67.2135419580129,NaN
40,NaN,46.4091670040643
45,70.9412916588203,NaN
50,NaN,42.0977920738501
60,75.2181311937833,41.1412532413836
70,63.4068888754804,35.6624094799983
85,NaN,40.2555310668784
90,58.219008332983,NaN
100,66.6668271357868,32.1539252712979
150,59.9677328070209,NaN
200,58.6750641771673,NaN
