t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_12_Obs,Compound_13_Obs,Compound_14_Obs
0,0.00131893008855072,1.34231423330701,0.101813898351883,0.00860555968597681,1.78496861268389,0.0533268725745229,0.118878344024808,1.336683710127,1.70313656607894,1.7377524238027,0.0318011895708623,0.105706213801508,0.142096821942814
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43792023600763,NaN,NaN,NaN,75.1595131534497
15,NaN,2.40774851095112,27.7997176772833,NaN,68.8707860879557,NaN,71.7189772356796,2.09997167478098,NaN,7.56604196117172,0.530005465315159,NaN,NaN
20,NaN,NaN,NaN,0.473889989399602,NaN,8.264421009041,NaN,NaN,2.08408623730884,NaN,NaN,84.8308811724521,62.2976809841669
25,0.153282401098865,3.7636508730834,NaN,NaN,NaN,NaN,83.5976321181852,NaN,NaN,NaN,0.372817917143389,NaN,NaN
30,NaN,NaN,47.2371054232677,NaN,50.5187525685552,NaN,NaN,4.07804101162563,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.63882525409981,20.2383149048028,NaN,NaN,58.8421431956826
40,NaN,6.18628972100497,NaN,0.257315125464933,NaN,14.111881613581,31.8943810762076,NaN,NaN,NaN,0.416872658623598,77.5393438838781,NaN
45,NaN,NaN,42.1951913118843,NaN,49.6889280463889,NaN,NaN,9.40822718793665,6.67244545657016,NaN,NaN,NaN,41.0882598228763
50,0.154476077092534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7363659037798,NaN,NaN,NaN
55,NaN,13.1792341353863,NaN,NaN,NaN,NaN,31.9384916410875,NaN,NaN,NaN,0.386072741201461,NaN,NaN
60,NaN,NaN,NaN,0.217812550005582,39.6504154351633,10.9921733301452,NaN,13.5101237939437,12.062631884144,NaN,NaN,61.1727958426529,30.690550187219
65,NaN,NaN,34.3908805185047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,11.1185075589618,NaN,NaN,NaN,NaN,24.6454269926306,NaN,NaN,NaN,0.403813160841497,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2858709225359,22.5996955271087,NaN,NaN,21.7585166638558
80,0.154060738057977,NaN,24.0696234266682,NaN,30.3499864323599,8.00372320360817,NaN,13.1585915347652,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.228174184838918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.180300626109,NaN
90,NaN,13.9736809624157,NaN,NaN,NaN,NaN,18.3312316206668,NaN,NaN,NaN,0.350692239933792,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2299562294864,19.2236960757104,NaN,NaN,14.3393284023607
100,0.0972003309163997,11.13091983134,19.0592966094994,0.195649387811008,30.2215492495068,6.30087646860237,16.6716282047588,11.0471847483776,14.797218798553,NaN,0.410141253637753,29.9105433404738,18.8212262985923
150,0.0775103895537579,7.85053822614208,15.5018000960036,0.191288761684728,26.6034588327859,6.34475649847647,17.3585327587975,9.52782242804888,8.02072958714323,16.6738898476947,0.342654251366412,41.903833666698,22.4206177625278
200,0.107897831195777,7.67263076490013,20.3078613094182,0.246760757027356,23.1915454043374,6.41847002431402,18.3931059009246,8.73627660464783,7.14927430749293,NaN,0.408500037729951,37.8355227527503,23.6238526967737
250,NaN,NaN,16.692817645813,NaN,28.6007794473658,6.62292423695548,23.759469786358,NaN,NaN,NaN,0.302339175431122,42.7542653981006,21.5430793938678
300,NaN,NaN,13.1041782267299,NaN,NaN,6.28681914244074,NaN,NaN,NaN,NaN,NaN,30.4383124662753,NaN
350,NaN,NaN,23.0990024783156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.476507677045,NaN
400,NaN,NaN,NaN,NaN,NaN,5.89513658247252,NaN,NaN,NaN,NaN,NaN,NaN,NaN
