t,Compound_1_Obs,Compound_5_Obs,Compound_6_Obs,Compound_13_Obs,Compound_14_Obs
0,0.000112993611229829,0.631529062312677,0.0217764362961372,0.0720045534690786,0.112746512056589
10,0.0562182676073269,NaN,2.89815933976855,NaN,NaN
15,NaN,80.8771907857193,NaN,113.853926390837,62.4612482077111
20,0.0754619484330859,NaN,NaN,NaN,NaN
25,NaN,NaN,11.1331531516243,NaN,60.2999995027942
30,NaN,50.9282738465968,NaN,90.5513265534962,NaN
35,0.0915860731390847,NaN,13.1749176670766,NaN,NaN
40,NaN,NaN,NaN,NaN,36.745466548449
45,NaN,47.4949957917183,NaN,89.3466064931717,NaN
50,0.0931193311889947,NaN,15.6486549772275,NaN,NaN
60,NaN,NaN,NaN,63.3697263739994,43.7643232949438
65,0.097232029570173,33.3865053877835,10.7768912949813,NaN,NaN
75,NaN,NaN,NaN,NaN,42.2673767828296
80,NaN,NaN,NaN,62.7502910459039,NaN
85,0.0800443320407644,30.7665407232251,10.9563984629568,NaN,NaN
95,NaN,NaN,NaN,NaN,28.947759421359
100,0.0765340017510384,44.9371652326978,9.00117321934664,63.5881195335992,24.2640238807562
150,NaN,36.144462718489,9.72308097330115,60.2359141257258,29.5047104909016
200,NaN,32.1269787993239,9.33878168043149,55.8784843445893,30.195673733285
250,NaN,33.896891391357,NaN,53.9217069451213,30.3215257465814
300,NaN,27.1659811410538,NaN,51.1254341917745,NaN
