t,epo_level,Compound_2_Obs,Compound_9_Obs
11,6.6667e-07,0.715466375416027,0.50799204890939
11,6.6667e-07,0.698868884381152,0.458104588205901
11,1.3333e-06,0.65800135827782,0.407592649970073
11,1.3333e-06,0.596860039343376,0.4502801563572
11,2.6667e-06,0.75236605773027,0.502073313807477
11,2.6667e-06,0.699487436433249,0.470565807222228
11,5.3333e-06,0.667948902886541,0.467180265996089
11,5.3333e-06,0.698786584155024,0.379923324367475
11,1.0667e-05,0.753959480889201,0.507327862880397
11,1.0667e-05,0.739096979430161,0.538011586584392
11,2.1333e-05,0.746413421540696,0.546787912417008
11,2.1333e-05,0.705069543430613,0.486312352615873
11,4.2667e-05,0.596761441827659,0.471980510115061
11,4.2667e-05,0.558142117010152,0.435025839508909
