t,Compound_2_Obs,Compound_9_Obs
0,0.569826600888454,0.611230085316629
60,113.407624818389,112.086812594843
100,30.8632144066034,38.1423291551366
200,12.6336595436106,15.4557431897705
250,16.0672334017162,12.9355645658087
300,10.9514707598512,13.3296177832933
400,12.3210263965395,12.5470080873903
500,14.9871733660458,11.6046352074353
600,14.0404128356875,NaN
650,NaN,12.963585619434
700,9.9479642115885,NaN
750,NaN,12.7154331740747
850,16.8838452873992,NaN
950,NaN,10.0023967896237
1000,10.3126931764585,13.2559089287429
1500,13.2826478372741,14.2579737441186
