t,Compound_2_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_13_Obs,Compound_14_Obs
0,1.79629485203499,2.07370546827585,-0.330418164781531,2.64643083626847,1.26075283503356,2.45130570712027,0.403917902379148,2.73847932091072,1.15325265953557
5,NaN,NaN,NaN,57.8066688099142,NaN,NaN,NaN,NaN,NaN
6.5,NaN,68.2698267354733,NaN,NaN,NaN,NaN,NaN,NaN,68.9674619343442
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.4610398795145,NaN
8.5,2.62559678447169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.679713394206278,1.29597932767939,3.56333603749441,NaN,NaN
10,NaN,NaN,2.79324816500374,81.1940788506931,NaN,NaN,NaN,NaN,NaN
15,1.87575583393708,74.6168940885859,NaN,71.994741460236,NaN,NaN,NaN,95.3237865598328,75.081155716055
20,NaN,71.1685588565095,10.2818519558664,68.542693477643,3.2996500290193,1.68005321350723,11.7672955972675,102.17511561817,64.3796565002902
25,2.95408543333467,57.6314649184231,NaN,55.5825196627496,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,3.59886276896985,4.42601680289348,17.5901428768432,87.6855720940883,48.845419750692
35,5.1204110701282,45.9955511071682,12.7027898697517,45.1385604316122,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,39.9380286735828,8.07004556347686,7.76369654463244,20.7589729245546,90.582347017367,42.3927011418884
45,8.9097999113239,46.1421813884033,14.1695967944163,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,31.9481636425057,NaN,NaN,NaN,62.1865734083675,39.0074878142551
55,NaN,34.6933002388631,NaN,NaN,10.6825339292907,10.9174098944093,21.4442250537717,NaN,NaN
60,12.0004601588231,NaN,12.0376160823995,24.6981463572515,NaN,NaN,NaN,57.6833684523193,26.562410295731
65,NaN,36.6974938808099,NaN,NaN,NaN,11.5801058689607,22.8787941949263,NaN,NaN
70,NaN,NaN,NaN,19.9041818584821,12.3813145115417,NaN,NaN,56.2195855768266,NaN
75,13.6544628552203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,31.3324002866388,9.02547548233147,NaN,NaN,NaN,NaN,NaN,20.0475928801425
85,NaN,NaN,NaN,15.8157102993246,12.5947019450852,11.8081895972167,18.4765843698414,40.4577179967257,NaN
90,12.2133198699663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,30.2203078839544,8.29223904101789,NaN,NaN,NaN,NaN,NaN,19.710009684987
100,11.0967681535136,25.9839883693802,7.51245493317632,16.780716482153,11.0382424700469,11.2560206202358,17.7418513416738,31.9050754525164,15.2641018918868
150,8.29166200113163,25.1749123750794,4.62225664588536,NaN,8.07552217785861,8.0904731434883,15.0834816711738,32.817216696158,NaN
200,NaN,NaN,6.64806509578218,NaN,7.11232060058369,7.61903926921926,13.7098637793316,NaN,NaN
