t,epo_level,Compound_13_Obs,Compound_14_Obs
40,2.5e-09,15.8376376333244,11.2175621727069
40,2.5e-09,17.6028073971732,9.70751828090324
40,2.5e-09,24.3712496045473,10.1266619001007
40,2.5e-08,56.5914070852811,30.695884401536
40,2.5e-08,65.4892614951007,28.6284811553043
40,2.5e-08,70.9270974121586,37.0610134335603
40,1.25e-07,71.4941489688414,39.2666153091088
40,1.25e-07,78.5056280591394,35.9521914881144
40,1.25e-07,98.2485518206099,29.0134913687616
40,2.5e-07,75.5406183039484,42.7865468139724
40,2.5e-07,81.5578533920171,42.6648351964726
40,2.5e-07,87.8532892377071,40.4322105251043
40,1.25e-06,89.6131761153513,46.7039812003124
40,1.25e-06,90.7831264568777,56.2303727415671
40,1.25e-06,91.963561073337,47.2680456945779
40,2.5e-06,83.0697408672357,53.968195994441
40,2.5e-06,90.7635015696357,58.0888950645562
40,2.5e-06,100.663971381737,51.4442958942146
