t,epo_level,Compound_13_Obs,Compound_14_Obs
8,2.5e-09,100.966121697752,83.5125748646251
8,2.5e-09,109.235508944217,76.7173097397654
8,2.5e-09,110.886979054995,80.8237570064172
8,2.5e-08,109.32854710518,73.7876442717724
8,2.5e-08,99.8439823007839,86.9461038098707
8,2.5e-08,105.467174468975,78.1220830750797
8,2.5e-07,93.9398825749427,81.2606098018162
8,2.5e-07,108.272158694857,85.3127703201458
8,2.5e-07,106.199352964904,89.2426679774944
8,2.5e-06,29.7693244944977,32.2838022191392
8,2.5e-06,31.5308654459823,20.0981516023282
8,2.5e-06,22.860771510055,29.7735853272838
8,2.5e-05,-3.68019877137081,5.78030397281312
8,2.5e-05,1.11965429912271,-5.53370430231982
8,2.5e-05,-8.88057908670081,7.18203584181149
