t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_13_Obs,Compound_14_Obs
0,0.00112739651787303,0.10682426651985,0.00991202656865526,1.71751039507155,0.0938954915361898,0.104405831124947
7.5,NaN,11.6589950438028,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.782909315017176,NaN,NaN,NaN
9.5,NaN,NaN,NaN,84.0317086863493,NaN,NaN
10,NaN,NaN,NaN,NaN,106.788285179596,98.2239706597213
15,0.132639416827304,29.9895374284178,0.536023052488739,NaN,NaN,NaN
20,NaN,NaN,NaN,68.1817582752142,89.7723573717166,68.306344193199
25,NaN,42.3619394944512,0.49281966022129,NaN,NaN,NaN
30,0.148872754483029,40.0323414054534,NaN,44.0557949564351,88.7540569778438,46.1480654188391
35,NaN,NaN,0.417381146180716,NaN,NaN,NaN
40,NaN,40.8777564172374,NaN,40.5051499819545,NaN,NaN
45,NaN,NaN,NaN,NaN,84.8650589036758,36.714961953658
50,0.166349081985956,NaN,0.227321138463996,NaN,NaN,NaN
55,NaN,35.8393638362959,NaN,34.2588121251033,67.4100965325762,NaN
60,NaN,NaN,0.211054221913238,NaN,NaN,24.5271044248485
65,0.162182441457719,27.4567469858791,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,36.9798957268007,47.1193521246006,NaN
75,NaN,NaN,NaN,NaN,NaN,18.604485711912
80,NaN,NaN,0.252479031446725,NaN,NaN,NaN
85,0.101202220370837,22.9740892421536,NaN,24.6239641526986,40.4405074515589,NaN
95,NaN,NaN,0.221161165978959,NaN,NaN,14.7942967323128
100,0.0961684222338315,21.1388715519297,0.213219158506568,27.1388045674627,33.4052212006178,18.1077003957539
150,0.0840498205184726,19.8469032132332,0.189454412552303,27.5124049747399,41.971139316931,18.4355016139235
200,0.0784868506993236,NaN,NaN,25.4199404016481,38.5982720811418,22.081886785334
250,0.0788050139112422,NaN,NaN,NaN,NaN,NaN
300,0.0967287316046275,NaN,NaN,NaN,NaN,NaN
