t,Compound_1_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_10_Obs,Compound_13_Obs,Compound_14_Obs
0,0.000161741299582022,1.99591781582717,0.0380991277969432,0.118194360251118,1.62866915640725,1.63296162261813,0.109952132450172,0.127378420275459
6.5,NaN,37.7199549462686,0.50220354561305,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.745475552874
7.5,NaN,NaN,NaN,39.621561272012,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,42.2291032494773,NaN
9,NaN,NaN,NaN,NaN,1.7781797854514,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,3.37644544797863,NaN,NaN
15,0.0872866495554046,41.8314820282927,3.9548720608887,36.8339117749357,NaN,NaN,47.8963077909361,37.1215591605764
20,NaN,37.0780017247705,6.26734728687821,NaN,1.79735764078516,6.71873351813282,NaN,40.4556018482235
25,0.124566103965471,39.7598235276844,NaN,40.5724848586855,NaN,NaN,85.0165380699818,NaN
30,NaN,NaN,10.6157092107452,34.443427470676,3.35200207825873,14.0119295286659,NaN,30.8628199773113
35,NaN,30.6625262414325,9.11165785398707,NaN,NaN,NaN,52.3233439948262,NaN
40,0.1365442951654,NaN,NaN,24.5780247983461,4.60567005035155,11.2459988820214,NaN,17.6755485700852
45,NaN,25.8651123434215,8.45751882441109,NaN,NaN,NaN,48.4539273029476,NaN
50,NaN,NaN,NaN,19.3542125343035,5.54746752780552,12.9486969892232,NaN,20.2168271533134
55,0.116542218152244,23.0257430761452,7.74060782454987,NaN,NaN,NaN,46.7396855210113,NaN
60,NaN,NaN,NaN,14.0610919565197,8.22651101912334,NaN,NaN,14.8439834597265
65,NaN,22.0429701877583,NaN,NaN,NaN,13.0544546158434,NaN,NaN
70,0.101973743071752,NaN,6.62119402033276,NaN,NaN,NaN,22.1509750235193,13.3360718760706
75,NaN,20.641251536107,NaN,10.7349200386975,8.90954544084335,NaN,NaN,NaN
80,NaN,NaN,6.46441708728939,NaN,NaN,14.4756596699071,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,22.1138124903146,10.7205288609627
90,0.0672786676305457,19.3496311001063,NaN,8.42311646516025,8.90649982652143,NaN,NaN,NaN
100,0.0874012212439922,20.7404716862124,4.40711924725591,9.4462124510693,5.62461652209137,11.1190084277523,17.9334540951036,9.52650557744798
150,0.0697297100417156,13.4342149585585,2.72305392060538,6.27628635160774,4.17073792239193,6.84340789027412,14.3097745961819,9.19163127841957
200,0.068449694246818,NaN,NaN,NaN,4.0549219444617,5.26858003113881,16.9587798030944,NaN
