t,epo_level,Compound_5_Obs
10,2.5e-09,3.16890437816167
10,7.905e-09,8.83000138937705
10,7.905e-09,9.04376083244718
10,7.905e-09,12.5348496743885
10,1.25e-08,13.7845386395187
10,1.25e-08,15.5120123181116
10,1.25e-08,16.7587860867506
10,1.75e-08,25.2301051994867
10,2.5e-08,39.242745214956
10,3.95e-08,53.8889622259244
10,7.9e-08,83.1966658310527
10,1.25e-07,65.1453514271395
10,1.25e-07,78.976918931875
10,1.25e-07,82.0727897801002
10,1.7675e-07,59.771425274901
10,1.7675e-07,66.0775553898896
10,1.7675e-07,75.3205444594961
10,2.5e-07,68.2212408185741
10,2.5e-07,68.6079245197524
10,2.5e-07,95.2449353526516
10,7.905e-07,87.0667572738929
10,7.905e-07,90.7119225531677
10,7.905e-07,96.3747553435955
10,2.5e-06,87.2169354174705
