t,AC_Fsk_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.00353108013649739,1.3170976766091,0.727818208602608
8,NaN,0.932729295073426,NaN
10,NaN,NaN,0.967476931906273
15,NaN,1.09622865793177,NaN
20,-0.333691141633252,NaN,1.54331397747756
25,NaN,1.32395805665156,NaN
35,NaN,NaN,1.21742132662283
40,0.310811773932446,1.29561467039182,NaN
50,NaN,0.879125474758648,0.514865944086008
65,0.0818408323007649,NaN,1.20060857306215
80,NaN,NaN,1.08044226424808
90,0.29218950527643,NaN,NaN
100,0.113804178715219,NaN,1.76793289866557
150,-0.264638533269777,NaN,1.33243597005546
200,0.42417438263945,NaN,NaN
250,-0.335136483315023,NaN,NaN
300,0.485135133495263,NaN,NaN
350,0.20800803363757,NaN,NaN
450,-0.224761125548978,NaN,NaN
