t,AC_Fsk_Obs,Compound_2_Obs,Compound_3_Obs
0,0.0689153464469252,1.09347975100314,-0.66388570894624
3,NaN,NaN,6.45169745426366
4,-0.168488507930729,NaN,NaN
6.5,NaN,NaN,7.00226960577204
7.5,NaN,1.08511338729509,NaN
8,0.323940495973112,NaN,NaN
10,-0.020532875486557,NaN,7.41478267906095
15,NaN,1.16466460985213,10.6677180619864
20,0.207033133733036,NaN,8.72079395528473
25,-0.0841856772382063,0.918061431202577,7.71902102912564
30,0.118945141616245,NaN,11.8663659130398
35,NaN,1.39774578806333,NaN
45,NaN,0.704489950136575,NaN
55,NaN,0.839695719790756,NaN
70,NaN,1.47431108952751,NaN
90,NaN,0.882869744127973,NaN
