t,PTPAct_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_9_Obs,Compound_13_Obs
0,-1.30993376956229e-05,0.000159392987156986,0.000184768865318355,29.9281844156323,180.839638723,0.0230469737896027,0.0223789206941697,28.8280081513521,30.761424677364,0.130101780230211
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.2774314403751,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.8418725940488,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5754063029889,NaN
9.5,NaN,NaN,NaN,30.4974741956156,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,175.353001742628,NaN,NaN,NaN,NaN,0.141721520459554
15,0.000236172734180464,0.000170771189647504,NaN,NaN,NaN,0.0673531121358556,0.171846232873759,30.391986914604,30.0331395313634,NaN
20,NaN,NaN,0.000180376857031221,32.9010100169486,NaN,NaN,NaN,30.5948122578148,31.4948589351252,NaN
25,NaN,NaN,NaN,NaN,182.935682308284,NaN,NaN,NaN,31.6704370403793,0.132236397806095
30,0.000509312924080829,NaN,NaN,31.0822131397673,NaN,0.056874886954178,0.222055528303819,30.2979858174407,29.1034493872162,NaN
35,NaN,0.000276990275352086,0.000234054962691331,NaN,176.063523315904,NaN,NaN,30.046646865199,NaN,NaN
40,NaN,NaN,NaN,31.5258044516892,NaN,NaN,NaN,NaN,NaN,0.138135830718789
45,NaN,NaN,NaN,NaN,NaN,0.0523504278273057,0.194305710757713,27.2078102841366,NaN,NaN
50,0.000708334867786143,NaN,NaN,NaN,191.836843219569,NaN,NaN,NaN,NaN,NaN
55,NaN,0.000401769978853701,0.000358929846817332,32.0700435833418,NaN,NaN,NaN,NaN,NaN,0.139115323036316
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.5701822829816,NaN,NaN
65,0.000814900696363242,NaN,NaN,NaN,178.787588331543,0.0505281411375965,0.163929712286603,NaN,NaN,NaN
70,NaN,NaN,NaN,31.0154994776555,NaN,NaN,NaN,30.6868027846083,NaN,0.14679179749719
75,NaN,0.000440976938988136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.000442881649962757,NaN,167.324235199605,NaN,NaN,NaN,NaN,NaN
85,0.000877462652920739,NaN,NaN,30.456946755761,NaN,0.0504104255436621,0.143039748157883,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5973670709429,NaN,0.160235714585477
100,0.00096320661471497,0.000405358476886416,0.000411821842888356,31.311994149069,175.551333377361,0.0485481157961714,0.125875325177178,31.8220633274638,NaN,0.165506473096265
150,0.0010700848991183,0.000325108236634258,0.00030955232478609,32.1230883026677,183.43621283188,0.0458918913308301,0.0798304653599702,NaN,NaN,0.22328998567219
200,0.00113793158353092,0.000288432365624177,0.000272208380017557,31.2697732497871,172.8311623373,0.0426562371821125,0.0793412887959367,NaN,NaN,0.234642871025334
250,0.00117324075054522,0.000274584432458325,0.000242144579823253,NaN,NaN,NaN,0.0623119764670375,NaN,NaN,NaN
300,0.00118770075002439,0.000248918322830983,0.000252465603958651,NaN,NaN,NaN,0.0637564113401979,NaN,NaN,NaN
