t,PTPAct_Obs,Compound_3_Obs,Compound_7_Obs,Compound_13_Obs
0,-0.000124045450503733,0.95489932049563,30.6419140808512,0.0886817049053467
4.5,NaN,NaN,28.8640433280548,NaN
9,NaN,NaN,30.620498232663,NaN
15,0.000848141318175487,1.18015988520294,31.2793393755839,0.0911563217169716
20,NaN,NaN,31.1425068671986,NaN
25,NaN,NaN,30.5537717169935,NaN
30,NaN,1.2456669516455,29.9781264277589,NaN
35,0.00167092005422846,NaN,NaN,0.0879778692368884
40,NaN,NaN,29.4154192658406,NaN
45,NaN,1.18373725226547,30.4786616212941,NaN
50,0.00245519079697991,NaN,NaN,0.0897518130295292
55,NaN,NaN,32.3103750932772,NaN
60,NaN,1.31669093859832,NaN,NaN
70,0.00265094315955946,NaN,NaN,0.102589747308221
80,NaN,1.18879712530532,NaN,NaN
90,NaN,NaN,NaN,0.12319180658221
95,0.00340373888582251,NaN,NaN,NaN
100,0.00360675339787516,1.21065605652048,NaN,0.119593406548985
150,0.0046826688976089,1.21170065435386,NaN,0.167726801194347
200,0.00534743028571433,1.12319114952116,NaN,0.18464160521489
250,0.00580501312587397,1.18905819292175,NaN,0.193213799449303
300,0.00608411751547422,NaN,NaN,NaN
