t,PTPAct_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
0,0.000236752878150943,0.000179217188405766,0.0252260240762682,0.0206666381286519,150.506064889871,163.67072647413,3.49284205789687,0.282387812140066,151.513816179668,0.0895966354694363,3.50957703314922,0.101484177208383
6.5,NaN,NaN,NaN,NaN,NaN,174.049264968521,NaN,NaN,NaN,NaN,NaN,0.0648495566288353
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.1206319185491,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,4.15689394693482,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,162.877694855781,NaN,NaN,NaN,151.489181305563,NaN,NaN,NaN
9,NaN,-0.00019572157543655,0.0223710401514323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.437049922036379,NaN,NaN
10,0.0034652083782836,NaN,NaN,0.0224719843487892,NaN,NaN,NaN,NaN,NaN,NaN,4.38307934882015,NaN
15,NaN,NaN,NaN,NaN,153.530659113955,164.447610868586,4.01526901773476,15.3248044035317,150.622197018531,NaN,NaN,0.0725258003356052
20,NaN,0.0080917107183173,0.0291370540869803,NaN,NaN,165.158947609948,NaN,14.4503722397524,NaN,1.57811886835182,4.81530092140383,0.157280398689232
25,0.00584685397707665,NaN,NaN,0.0269777306600731,163.685996594461,171.318508182903,3.93089258965634,NaN,154.783494551314,NaN,NaN,NaN
30,NaN,0.0167418324086619,0.0377385706572814,NaN,NaN,NaN,NaN,13.5389737485492,NaN,2.13258325600772,NaN,0.257037187776197
35,0.00652219774521066,NaN,NaN,0.0399223149698946,159.322631761787,162.302597619013,4.36243383592264,NaN,151.943547541272,NaN,6.44733870379796,0.334561651428327
40,NaN,0.0233000350243891,0.0450263382062684,NaN,NaN,NaN,4.85085923186723,11.4849583473726,NaN,2.25167758375277,NaN,NaN
45,NaN,NaN,NaN,NaN,162.946754042975,162.231735323573,NaN,NaN,NaN,NaN,7.15225445308113,0.441328611835424
50,0.00738783956428435,0.0247245607602151,0.0481257586391072,0.0458055455815103,NaN,NaN,NaN,10.7087317806118,156.588973363756,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,172.632164319233,5.49709683014811,NaN,NaN,2.15512169173643,NaN,NaN
60,0.00764340299717586,0.0245757711176219,NaN,NaN,157.489180412416,NaN,NaN,8.35711760568457,148.558331530818,NaN,7.72546907278495,0.786421584588587
65,NaN,NaN,0.045361964634384,0.0459595513831126,NaN,167.102288588791,6.35577352257099,NaN,NaN,1.91014852754244,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.57456487522368
75,NaN,0.0215709923190796,NaN,NaN,157.558708213534,NaN,NaN,6.68517304213832,141.19672828785,NaN,8.19586702474341,NaN
80,0.00832810417625749,NaN,0.0400319843261536,0.0437515023714624,NaN,159.715491344795,6.90111295649603,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.51150132386521,NaN,NaN
90,NaN,NaN,NaN,NaN,158.331194177445,NaN,NaN,5.7060707237135,158.253571326407,NaN,NaN,3.26202923245793
95,NaN,0.0170971209986371,0.0387982613740601,NaN,NaN,163.119551351979,7.13033436026977,NaN,NaN,NaN,8.14108214330474,NaN
100,0.00879664190128095,0.0155394997715284,0.035948623635459,0.0379707875412132,164.854495795387,158.095019638783,6.66722725226632,4.63962989991402,157.427146365952,1.16642010548147,7.89773333984815,4.17391616759814
150,0.00997694547240289,0.00646635542752095,0.0300495885829208,0.0320529537343109,160.28192111133,156.059153253241,5.56884446737793,2.4835358049696,148.84828921362,0.680306393525132,5.91217570037511,7.40103056066163
200,0.0103886504064886,NaN,NaN,0.0267470182095962,NaN,NaN,NaN,NaN,NaN,0.575122321850161,5.40578623693983,NaN
