t,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_5_Obs,Compound_10_Obs
0,-0.00016402304659514,-3.46326951843605e-05,0.0170389933228775,7.90964668784874,0.0883237959065465,6.52167040471338
25,NaN,NaN,NaN,7.79322573039244,NaN,NaN
35,NaN,NaN,NaN,NaN,1.80742608782202,6.70297841976066
50,NaN,NaN,0.0184618867675583,NaN,NaN,NaN
55,NaN,NaN,NaN,6.51644523354442,NaN,NaN
60,0.0018805422367291,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,1.49878729844709,6.64038755512417
80,NaN,0.0019682369587411,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,6.69101162931086,NaN,NaN
100,0.00170238908922604,NaN,0.0187773696765671,6.66081061251751,1.09600672148966,6.47197338764451
150,NaN,0.00154518101066006,0.0158398952221917,5.27175509658235,0.996814871160963,6.99033829546996
200,0.00136320689005388,NaN,0.0185852364802985,6.33228297776114,0.917004965623096,7.63511487758136
250,0.00143931194573927,0.00162805778013274,NaN,7.22341460371598,0.917481026543809,7.01586787828562
300,NaN,NaN,0.0140531937797199,7.27618308176267,0.801632284858065,6.90432538528541
350,0.00138821921250355,0.00124839169616235,0.0174036985554748,NaN,0.721370269402502,NaN
400,0.00105780282384901,NaN,NaN,6.93105536845769,0.764900416098138,6.02878047850034
450,NaN,0.00103983068777635,NaN,NaN,NaN,NaN
500,0.0011192891011172,NaN,NaN,NaN,0.675658343683413,5.9908872943623
550,NaN,0.00131849822325868,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,0.823595795159825,7.18418797817446
650,0.00112123465446221,NaN,NaN,NaN,NaN,NaN
700,NaN,0.0010975106776547,NaN,NaN,NaN,NaN
750,0.00120441361371011,NaN,NaN,NaN,NaN,NaN
850,NaN,0.0012620301909802,NaN,NaN,NaN,NaN
950,0.00108459252605918,NaN,NaN,NaN,NaN,NaN
1000,NaN,0.00131603410187752,NaN,NaN,NaN,NaN
1500,NaN,0.00121207434510729,NaN,NaN,NaN,NaN
