t,PTPAct_Obs,Compound_3_Obs,Compound_7_Obs,Compound_13_Obs
0,7.50785578549133e-05,1.17393114908827,30.8767650192248,0.0916954294990754
3.5,NaN,NaN,31.6870435012613,NaN
7,NaN,NaN,26.2289941984293,NaN
10,NaN,1.07033368989869,29.5584256556444,NaN
15,0.000656790798505228,NaN,29.5628556199144,0.107566251922281
20,NaN,NaN,29.3781167631531,NaN
25,NaN,1.20603462945253,31.8284935633346,0.105482288297307
30,NaN,NaN,34.1992755301325,NaN
35,0.00248862021130246,1.1495566533504,34.6403003216431,NaN
40,NaN,NaN,37.8597028100268,0.0758512698022865
50,NaN,1.40984354442463,32.7154239839507,NaN
55,0.00186256623304162,NaN,NaN,0.118454884938121
60,NaN,0.944607112602724,NaN,NaN
75,0.00297373535169533,NaN,NaN,0.11781696083378
80,NaN,1.19194127267262,NaN,NaN
95,0.00368147632853999,1.10485529864549,NaN,0.136601418975346
100,0.0037449935944554,1.23439141000979,NaN,0.112668952423585
150,0.00416320399845538,1.22087248619668,NaN,0.175144770629841
200,0.00520356503367476,1.12810848061065,NaN,0.181337433285559
250,0.00639334813671944,NaN,NaN,NaN
300,0.00607547370663983,NaN,NaN,NaN
