t,epo_level,SOCS3nRNA4_Obs,Compound_12_Obs
13,6.6667e-07,0.00182851879209544,1.10513926732434
13,6.6667e-07,0.00186328488240855,1.08036631207265
13,1.3333e-06,0.00183479187767637,1.38179702195884
13,1.3333e-06,0.00185035933779839,1.34346176933908
13,2.6667e-06,0.0018176922840899,1.53546920508555
13,2.6667e-06,0.00184959899032826,1.50132200539302
13,5.3333e-06,0.00170636313562599,1.62220809199363
13,5.3333e-06,0.00179959770563213,1.57231576330541
13,1.0667e-05,0.0018577549692487,1.64007876534658
13,1.0667e-05,0.00190711193518469,1.71329486375278
13,2.1333e-05,0.00167593176262314,1.7687666729411
13,2.1333e-05,0.00182770164841322,1.79810648399111
13,4.2667e-05,0.00178439709132929,1.70866852441723
13,4.2667e-05,0.00178712639688084,1.74459277667037
