t,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_5_Obs,Compound_10_Obs
0,0.000192451062097499,0.000184269559384983,0.0160579253530441,7.50298180698399,0.0019798330457094,5.98972911911494
3.5,NaN,NaN,NaN,8.1174257728499,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,7.44926222544509
7.5,0.000127296437773657,0.000195435767148018,NaN,7.18581102016956,0.000387861709665467,NaN
9.5,NaN,NaN,0.0142865641734664,NaN,NaN,NaN
10,NaN,NaN,NaN,8.76165947865977,NaN,6.84798754086753
15,9.75786065867139e-05,0.000166926836140668,NaN,6.77220697817455,0.000430319194651212,NaN
20,NaN,NaN,0.00975269441737766,8.501069100508,NaN,5.74320887110438
25,5.83327657934329e-05,0.00011958684871399,NaN,NaN,0.000442375116980128,5.89478333286456
30,4.39191851742462e-05,NaN,0.00721629471838556,7.74818853609851,NaN,NaN
35,NaN,8.90323808888163e-05,NaN,NaN,0.000487387952832213,5.5489933873484
40,4.37163732789991e-05,NaN,NaN,NaN,NaN,NaN
45,NaN,4.54561638964984e-05,0.00542383490136533,NaN,0.000386699853672448,6.69944914631525
50,3.53558974951072e-05,NaN,NaN,NaN,NaN,NaN
55,NaN,4.2627707296799e-05,NaN,NaN,NaN,5.81220857485209
60,NaN,NaN,0.00388191167048591,NaN,0.000254889485614053,NaN
65,2.26236919723443e-05,NaN,NaN,NaN,NaN,NaN
70,NaN,4.0822837811245e-05,NaN,NaN,NaN,NaN
75,2.05508408111031e-05,NaN,0.00238289111585277,NaN,NaN,NaN
85,NaN,3.18320296802433e-05,NaN,NaN,NaN,NaN
90,3.98546778491145e-05,NaN,NaN,NaN,NaN,NaN
100,3.38825862556559e-05,3.19355061185737e-05,NaN,NaN,NaN,NaN
