t,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_6_Obs,Compound_10_Obs
0,0.000169379037932782,0.059401149297379,0.0444488345579354,37.1036523424939
5.5,NaN,NaN,0.0447609680469464,NaN
7.5,0.000172668152964831,NaN,NaN,NaN
8.5,NaN,NaN,NaN,32.9140895266122
10,NaN,0.0595479159060448,0.0399728850530553,NaN
15,0.000160433041612318,NaN,NaN,NaN
20,NaN,0.0570648901503001,0.0308535031785015,32.5513597188724
25,0.000120624615577142,NaN,0.0249208441003303,34.4940702134849
35,8.47566138152411e-05,0.0430126738977951,0.0132642292413561,NaN
40,NaN,NaN,NaN,31.1154927938697
45,6.32752174558895e-05,NaN,0.00931714875953284,NaN
50,NaN,0.0294197631103288,NaN,30.475669812146
55,4.37379308394134e-05,NaN,NaN,NaN
65,NaN,0.02229171358671,NaN,29.9554940274877
80,NaN,0.0177839158418963,NaN,NaN
85,NaN,NaN,NaN,33.3915805876745
100,NaN,0.0143287199262732,NaN,NaN
