t,PTPAct_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_9_Obs,Compound_13_Obs
0,0.00024196800724304,-0.00101250440646743,0.00113792856593193,32.6961924877604,3.20721646576749,0.0190159856143228,1.04582663339159,29.7078854037438,30.1555527195659,-0.0206747171283324
9,NaN,NaN,NaN,NaN,NaN,NaN,30.3606332022763,NaN,NaN,NaN
10,NaN,NaN,0.00074449191171675,NaN,4.28444683781431,NaN,NaN,NaN,28.2533170737376,NaN
15,0.00130261274492345,0.00676277832552082,NaN,32.0370607578097,NaN,0.0929123815904553,NaN,31.9537207802326,NaN,0.279915703753066
20,NaN,NaN,NaN,NaN,3.74568038072951,NaN,29.6168490422265,NaN,NaN,NaN
25,NaN,NaN,0.0127045448988003,NaN,NaN,0.154030864690638,29.7206680618672,NaN,28.9480525494738,0.510939520954779
30,NaN,NaN,NaN,33.299314948642,4.27605895334088,NaN,NaN,28.1724169131517,NaN,NaN
35,0.0023774786757119,0.0394897159552811,NaN,NaN,NaN,NaN,NaN,NaN,29.9417081602898,NaN
40,NaN,NaN,0.034798377766312,NaN,NaN,0.221183329179605,23.4182613629961,NaN,NaN,0.429484434651942
45,NaN,NaN,NaN,NaN,6.11179513991305,NaN,NaN,30.5757848889454,29.7283003294345,NaN
50,0.00285413656925678,0.0500295957196742,0.0447776420496028,32.3974248178108,NaN,NaN,19.5896954555069,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,7.7589934072546,0.242388724815174,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,17.4004709104158,30.5266640111029,28.4211800990138,1.85610657638701
65,NaN,NaN,NaN,32.7010032085955,NaN,NaN,NaN,NaN,NaN,NaN
70,0.00317251974390476,0.0444518304667957,0.0471289459156541,NaN,10.0961777971683,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.23614912525488,13.9872309362933,32.513665785428,30.600725977641,3.848478172323
85,NaN,NaN,0.0420630187228342,29.978561777231,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,10.5654817040146,NaN,NaN,NaN,NaN,NaN
95,0.00366182589736916,0.0323052197694542,NaN,NaN,NaN,0.19657613102447,9.73025488871709,30.1084811628073,29.4971343141619,7.27362487062898
100,0.0032418476119026,0.0312070454642788,0.0348790919469476,31.459499449448,10.3728085764868,0.198914959795328,10.1252505338839,28.6061205055474,30.4289102670057,8.53449088712571
150,0.00362410017403884,0.0171704843281698,0.0194983143836634,29.422929781709,7.60323025081346,0.129345254504992,6.49262567632479,30.7953120327392,30.2184665512732,14.9235919956873
200,0.00405406248899146,0.0153360357264125,0.0150910011595222,33.0910875106059,6.33148201026036,0.133169741574877,NaN,32.3841418684247,30.1664979250482,14.4734488299488
250,0.00446873725854444,0.0149299072636581,NaN,32.029269935316,NaN,0.118458900665459,NaN,29.8165973165817,30.8506399078601,13.5446541779156
300,0.00467843397027258,0.0144672110473118,NaN,30.7368597131964,NaN,0.120811566077226,NaN,30.1555729448107,NaN,12.1064521840918
