t,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_5_Obs,Compound_10_Obs
0,0.000163742628823849,0.000195463589391308,0.0541382379028624,34.1114326497168,0.0222594122801926,39.2525589607529
4,NaN,NaN,NaN,31.918202247733,NaN,NaN
5,NaN,NaN,NaN,NaN,0.0185430355426985,NaN
6,0.000156685927880731,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,24.5437233734767,NaN,NaN
9,NaN,0.000150296204431847,NaN,NaN,NaN,30.3106150071758
9.5,NaN,NaN,0.0623209994940913,NaN,NaN,NaN
10,0.000127443144060424,NaN,NaN,NaN,0.0124024536397573,NaN
15,NaN,NaN,NaN,32.6519445438008,0.00892348740973879,NaN
20,6.41829336149548e-05,0.000147924774975282,0.0580462425072246,32.5514221702746,0.00637794941523217,23.8737335195633
25,6.75638810524566e-05,NaN,NaN,31.382857718815,0.00617474249885296,NaN
30,NaN,0.000114949031354624,0.047713355920359,31.8103359044098,NaN,27.0875561280649
35,4.3697918506181e-05,NaN,NaN,NaN,0.00454409288414639,NaN
40,NaN,8.20353507335625e-05,NaN,32.1599265203894,0.00452742851809871,32.814104824255
45,4.30602433426872e-05,NaN,0.0323902797807859,NaN,NaN,NaN
50,NaN,NaN,NaN,30.666203789393,0.00596400720761228,NaN
55,NaN,6.41613187745938e-05,0.0217456712753841,NaN,NaN,33.7471361764944
60,NaN,NaN,NaN,NaN,0.00212308189017089,NaN
70,NaN,4.254013628211e-05,NaN,NaN,0.00407784182255511,34.6504753134025
75,NaN,NaN,0.0157069380990133,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.00364752910780197,NaN
90,NaN,NaN,0.014921836861662,NaN,NaN,29.9009323796621
