t,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA4_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_9_Obs,Compound_12_Obs,Compound_13_Obs
0,9.32389239409117e-06,0.000201391480952919,0.00180332232861943,0.94232968034309,-0.012020556814381,5.38439699559981,5.28040386897028,0.906558165508759,0.106102637209319
15,NaN,NaN,NaN,3.15464432834351,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.778807220829854,NaN,NaN,4.31828375085537,0.095689507254366
25,0.00157064299773334,0.00133250885767225,0.00220802307240289,NaN,NaN,5.22991040658076,5.53957108118773,NaN,NaN
30,NaN,NaN,NaN,2.8687971959536,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.934971082700918,NaN,NaN,4.180482668962,0.0956129077671903
45,0.00280006605601376,0.00198879224529162,NaN,2.84787242234413,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,5.24315236490064,5.40618493894464,NaN,NaN
55,NaN,NaN,0.00209157423371902,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,1.02738242858026,NaN,NaN,3.88632747140107,0.148370958454282
65,NaN,NaN,NaN,2.8323472283168,NaN,NaN,NaN,NaN,NaN
70,0.0035728052169891,0.00195086160717594,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,5.68947368658623,5.02636008746525,NaN,0.162926905524837
85,NaN,NaN,0.0019052982269801,2.51164327899271,0.979484381576465,NaN,NaN,3.87455959112691,NaN
100,0.00438848444645368,0.00185828253193878,0.00205808963552281,2.64976909293794,1.01126712511457,5.13396851839259,5.50971052065928,3.87146144738514,0.239129897794053
150,0.00549626854032739,0.00149196801610025,0.00191740681050561,2.33438279634322,0.992346483480524,5.40350463789777,5.04221501263667,3.07789340818294,0.429153109402738
200,0.00589780938291486,0.00145314116204734,0.00180949339909398,2.28729586367781,0.980872368281873,5.13522011508169,5.36409510481381,3.06174813439127,0.553667017788894
250,0.00686070103571368,0.00131851503309914,0.00188775880842445,2.33253247354134,0.970505611511491,5.31261856312924,5.2357004186442,2.79258611770331,0.619765592014027
300,0.00696998448815316,0.00114713683247275,0.00195208448140394,2.31875500706606,1.00029083820181,5.28076248816431,5.31279876322384,2.80861860263215,0.670454637334162
350,0.00708789101360193,NaN,0.00181657873340435,NaN,0.957218329414004,5.27261094279767,5.58033952629339,NaN,0.671796965125506
400,NaN,0.00117284013650211,NaN,NaN,NaN,NaN,NaN,2.62728053787294,NaN
450,0.00759387366447265,NaN,0.00192835190133175,NaN,0.980188146352826,5.37553789481396,5.05079637099573,NaN,0.635670287513761
