t,epo_level,PTPAct_Obs,Compound_3_Obs,Compound_7_Obs,Compound_13_Obs
9,0,-7.85820669107458e-06,1.0490133445603,5.39654328070947,0.0851959369985545
9,0,7.06081801647392e-06,1.03210925697363,5.18029220484026,0.092883666826962
9,4.2857e-08,2.57020047668419e-05,1.03306511864987,5.1072844902438,0.0939652728820349
9,4.2857e-08,2.68569031974352e-05,1.13372446319336,5.31704929414456,0.0892981310295082
9,1.4286e-07,5.40386286160519e-05,1.30557038014373,5.53606200807725,0.0862365448950909
9,1.4286e-07,8.49654335073796e-05,1.43458994308375,5.79151574358036,0.0905124478172336
9,4.2857e-07,0.000172890464220511,2.02748050016899,5.01368367268683,0.0845480761878682
9,4.2857e-07,0.000181011710899118,1.88592216414193,5.0552948015975,0.0915973065778227
9,1.4286e-06,0.000372021748000576,2.63692575504637,5.10336254173786,0.0934341430541735
9,1.4286e-06,0.000385353113352925,2.5294194831978,5.41751740144749,0.091486719048025
9,4.2857e-06,0.000503612983136186,2.9602288838549,5.08943997673172,0.0943549607913967
9,4.2857e-06,0.000537607660801756,3.10130054528566,4.96588030743475,0.0877988514090527
9,1.4286e-05,0.00059911283911033,3.1495335514812,5.41142769836574,0.0897122979563775
9,1.4286e-05,0.000611740708639921,3.19528871235693,5.31322540584738,0.097168387447084
9,4.2857e-05,0.000638835009664213,3.35550536676052,5.56990112950448,0.0921385964366824
9,4.2857e-05,0.000648417689892532,3.21373905683485,5.01040709846531,0.0956448738506285
