t,CISHnRNA2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_5_Obs,Compound_10_Obs
0,0.000126845725107358,0.000330389248238939,0.0141084224338098,8.19998649691024,-0.163400252997864,7.30878645858113
35,NaN,NaN,NaN,NaN,2.2821712527046,NaN
45,NaN,NaN,NaN,NaN,NaN,6.64100107197872
55,NaN,NaN,NaN,6.09824000219363,NaN,NaN
65,NaN,NaN,0.018732805312439,NaN,1.72782657445185,NaN
75,0.00194836919183486,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,5.71453131802426
95,NaN,0.00203840574775402,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,4.80330221104633,1.53148500130998,NaN
150,0.00144808656494758,NaN,0.0180192855726424,NaN,1.11884948920395,6.02997451208037
200,NaN,0.00163152923579191,0.0171868838994402,6.55885018590237,0.837175070276357,7.62789873035771
250,0.00177490890248948,NaN,NaN,5.00827261660867,0.953845745797946,6.85825355603988
300,0.00153883255151973,0.00145886887197829,0.0196935304055102,NaN,1.05475565753537,6.87476185484902
350,NaN,NaN,0.0190418919909114,5.46151495518632,0.769903509538405,NaN
400,0.00141308925064659,0.00137308027431365,NaN,NaN,NaN,6.97752674978643
450,NaN,NaN,0.0182453572643953,5.49677005238262,0.919902844857335,4.9524339671037
500,NaN,0.00126940531699989,NaN,NaN,0.956438771422588,NaN
550,0.0013128834470208,NaN,NaN,NaN,NaN,6.36825017196763
600,NaN,NaN,0.0164970268948822,NaN,NaN,NaN
650,0.00135765653490588,0.00109032138009164,NaN,NaN,0.789563097490571,NaN
700,NaN,NaN,0.0191234121327849,NaN,NaN,5.89837904304976
800,0.00111710507356412,0.00126186909296631,NaN,NaN,NaN,5.60160674358942
850,NaN,NaN,0.0174933423623891,NaN,NaN,NaN
1000,0.00123736513099103,0.00113627271779378,0.0171738775052661,NaN,NaN,NaN
1500,NaN,0.000942918184616038,NaN,NaN,NaN,NaN
