t,PTPAct_Obs,CISHnRNA3_Obs,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs,Compound_13_Obs
0,-0.000468543526364795,0.000309544263901916,0.970202578814302,0.16854524049649,-0.0639618265019385,5.21092197592349,4.43815019503555,0.134457173457517
15,NaN,NaN,2.9813317967498,NaN,2.50270472517919,NaN,NaN,NaN
20,NaN,NaN,NaN,0.742789050762542,NaN,NaN,NaN,0.0977587177399879
25,0.000939503066299341,0.00153999387828541,NaN,NaN,NaN,5.28566620443924,5.45240470818984,NaN
30,NaN,NaN,3.25331985857714,NaN,2.11043898451384,NaN,NaN,NaN
40,NaN,NaN,NaN,0.995189547353815,NaN,NaN,NaN,0.0407009602327561
45,NaN,NaN,3.65177358796778,NaN,1.75419919568766,4.7670776991154,NaN,NaN
50,0.00206280927783901,0.00191754462531023,NaN,NaN,NaN,NaN,4.82914268035926,NaN
60,NaN,NaN,3.17954386949812,1.30738003959765,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,1.70295304892583,NaN,NaN,0.146343993577072
70,NaN,NaN,NaN,NaN,NaN,4.57809972582821,NaN,NaN
80,0.00353014788650907,0.00207835852449566,2.8523314444969,NaN,0.948605844474727,NaN,4.98396491174266,NaN
85,NaN,NaN,NaN,1.16795848865495,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19012009147284
95,NaN,NaN,NaN,NaN,NaN,5.04404234696798,NaN,NaN
100,0.00430115903734327,0.00187912694516856,2.31637005887978,0.925345014449466,1.23690301976758,NaN,5.64869381589002,0.225094468413897
150,0.00583438579476111,0.00168889433247319,2.22976886754326,1.22465335622658,0.999830627202356,5.80244802277568,4.70159182421342,0.406512903921738
200,0.00565886555152427,0.00161443242734571,2.17912921283419,1.07310270837277,0.886521334984467,5.4077140170734,5.40436293886398,0.64749296539546
250,0.00560431617645311,0.00130949748638686,2.49643364660542,0.903260092784553,0.865452863795441,5.9844933409395,5.44257267392021,0.629076027010316
300,0.00725613091158552,0.00118832934863394,1.99505841671334,0.933205839075657,0.805215824736508,6.50268096038305,4.49544431881368,0.713460552165214
350,0.0072814705895763,0.00125562701152606,NaN,0.975555426358646,NaN,4.91725890674667,6.07523191234965,0.679957328011486
400,NaN,0.0010318970589494,NaN,NaN,NaN,NaN,NaN,NaN
450,0.00749677651642957,NaN,NaN,0.892786139789355,NaN,5.24140741882665,4.56211967375269,0.580684981514878
