t,PTPAct_Obs,SOCS3nRNA4_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_12_Obs,Compound_13_Obs
0,-0.000458081656232448,0.0249960300891117,3.05967557379837,-0.590565674080209,31.6800623825114,2.87641992934483,0.249234151716046
10,NaN,NaN,NaN,5.19760603072993,NaN,4.40820740065973,NaN
15,NaN,NaN,4.6847560195507,NaN,NaN,NaN,NaN
20,NaN,0.0238173865269864,NaN,NaN,26.3856056341245,NaN,0.271052009206981
25,0.00244873933867366,NaN,NaN,9.13472774858523,NaN,8.55613467123688,NaN
30,NaN,NaN,3.62443346502579,NaN,NaN,NaN,NaN
35,NaN,0.0546717272437251,NaN,9.50938401730224,NaN,9.77449606601289,NaN
40,NaN,NaN,NaN,NaN,26.3799280532387,NaN,0.657474052813882
45,0.00314769164182595,NaN,7.18338377390051,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,8.79744839712099,NaN,9.85254188968658,NaN
60,NaN,0.0716349126998811,NaN,NaN,33.2072842885304,NaN,2.59092750595162
65,NaN,NaN,8.8772382761644,NaN,NaN,11.493160543287,NaN
70,NaN,NaN,NaN,5.85610949497837,NaN,NaN,NaN
75,0.00346045701380744,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,0.0719924703832857,NaN,NaN,NaN,NaN,5.37495030651754
85,NaN,NaN,11.1057404468153,6.05023147280643,27.9595715038928,13.3948666324128,NaN
100,0.00319348315487796,0.0567552213479716,9.23675055911785,3.79513458876653,27.6121292249154,12.0438946013845,8.53209346126912
150,0.00380882470087826,0.0522373673064598,7.2923848261915,2.33617408695752,30.6669280731445,8.16185357798215,13.0594198075378
200,0.00454335031234846,0.0430507037277623,5.88260554954574,2.95771057369579,28.7490011602669,6.64968230009805,14.8758445657387
250,0.00401518888693667,0.0365320476224716,5.42475346159662,NaN,29.8571368530422,7.96301759550813,13.4740242426342
300,0.00424355062377091,0.034962958214433,NaN,NaN,30.316808859858,NaN,10.760472930285
350,0.00409306641172065,NaN,NaN,NaN,NaN,NaN,11.9405457961336
450,0.00513714261251936,NaN,NaN,NaN,NaN,NaN,8.17074957737524
