t,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_6_Obs,Compound_10_Obs
0,9.53704765754463e-05,0.0158722814597332,-0.0126335028554059,6.55791074999076
45,NaN,NaN,1.82286272853614,NaN
50,NaN,NaN,NaN,6.22530150115634
65,0.00203140051833795,NaN,NaN,NaN
70,NaN,0.0190950526032079,NaN,NaN
95,NaN,NaN,1.40654312430951,NaN
100,NaN,NaN,NaN,6.13751587933583
150,0.00178516567945348,0.0171753240414782,1.24466886163752,6.74097323235888
200,0.00171833557767438,0.0177909259443559,1.03256899119194,6.23378817245896
250,NaN,NaN,1.08397531331342,NaN
300,0.00152309707710914,0.0177702460278847,0.954632005019994,6.070807473144
350,0.00144612862923052,NaN,NaN,6.170277199994
400,NaN,0.0179750069179871,0.799833830499228,NaN
450,0.00129726531542337,NaN,NaN,6.51388521392948
500,NaN,0.0167400126303522,0.897944816731225,NaN
550,0.00130825189782737,NaN,NaN,6.19175627774107
600,NaN,NaN,0.874890870215545,NaN
650,NaN,0.0165723902669916,NaN,NaN
700,0.0012705100302386,NaN,0.793102951485637,6.44575022452179
800,NaN,0.0163039460799009,0.776563320582999,NaN
850,0.00122395688434602,NaN,NaN,6.2968363719447
950,NaN,0.017814431169463,NaN,NaN
1000,0.00135549724651124,NaN,NaN,NaN
