t,epo_level,PTPAct_Obs
15,2.5e-09,5.25961146027852e-05
15,2.5e-09,0.000104447159310264
15,2.5e-09,0.000159425401323182
15,7.905e-09,0.000342530748714046
15,1.25e-08,0.000407454742561445
15,1.75e-08,0.000570418574762605
15,2.5e-08,0.00062277707076877
15,3.95e-08,0.000784651453373945
15,3.95e-08,0.000848550222630148
15,3.95e-08,0.000941130670033931
15,7.9e-08,0.00123788423036815
15,1.25e-07,0.0014634791203181
15,1.7675e-07,0.00171685772770998
15,2.5e-07,0.00186259526063295
15,7.905e-07,0.00258512051704088
15,2.5e-06,0.0031101159776733
15,2.5e-06,0.0031167784884294
15,2.5e-06,0.00313035137254324
