t,CISHnRNA4_Obs,SOCS3RNA_Obs,Compound_6_Obs,Compound_10_Obs
0,0.000100168482022481,0.0151698052609194,0.0656150189004126,6.54210483488619
30,NaN,NaN,1.91219835993658,6.19309974499208
60,NaN,0.0198424790602705,NaN,6.31805416352063
65,NaN,NaN,1.43761673924582,NaN
70,0.00203760402064328,NaN,NaN,NaN
95,NaN,NaN,NaN,6.42262644967219
100,NaN,0.0198038463573157,1.24406244807675,NaN
150,0.0016595581591809,NaN,1.00560267682704,6.25337001276211
200,0.00138399892885379,0.0158324935977734,0.926712948764059,6.80149486378848
250,NaN,0.0166276726109795,0.893593382684325,6.18830970527689
300,0.00124364124058847,NaN,0.746716878815288,6.0131816289919
350,NaN,0.0171264774302789,0.794362666307806,NaN
400,0.00122104617350883,NaN,NaN,6.36379592276349
450,NaN,0.0173329140628965,0.687683681624192,6.45337933883847
500,0.00116839356360387,NaN,NaN,NaN
550,NaN,NaN,0.724318215388019,6.31476543239582
600,0.00110860017038459,NaN,NaN,NaN
750,0.00113814929897497,NaN,NaN,NaN
900,0.00119434915823268,NaN,NaN,NaN
1000,0.00107292794372877,NaN,NaN,NaN
