t,PTPAct_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
0,0.000285485028178885,0.00141994113908667,-0.00165319660632565,0.00362149209336137,0.0192391103649918,0.0131976888865815,0.064991359513762,31.2540345923561,30.2282839440323,2.97784329468049,0.0215688225641576,0.28737661348275,0.278169135999844,33.5648059654881,30.9857187265861,30.3739623695214,29.4721626269184,-0.11730058145849,2.96256126009796,-0.190860203361861
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3208659765733,NaN,29.3218011739598,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.3598899667254,56.8316396001921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.61999863877929,NaN,NaN
25,NaN,NaN,NaN,0.00727628735371326,NaN,NaN,NaN,NaN,NaN,2.4223256070624,NaN,28.3308881590604,NaN,NaN,37.9608961035022,NaN,41.3888461036677,NaN,6.04289719082191,NaN
30,NaN,0.0300169789598749,0.0192757884080594,NaN,NaN,NaN,0.091164504103562,NaN,NaN,NaN,0.137009548392244,NaN,9.98333744779447,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.0584916128007737,0.0536507352377553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5450298471509,NaN,27.1922307593248,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.3009405890432,60.1366286444453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.39397034826321
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.17318509027362,NaN,NaN
50,0.00219820113792251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.3924230172389,NaN,NaN,35.4900577328316,NaN,36.9536474109279,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0420668604050648,NaN,NaN,NaN,NaN,NaN,6.9500908135573,NaN,NaN,8.3335927646793,28.7452475430478,NaN,28.6507846627507,NaN,NaN,11.6064016706335,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.148934975112373,32.6882782010479,41.3557187284521,NaN,0.248886011965748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0465636784426503,0.0477485748507581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0689996082607926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.30221188802057,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0587230030258849,NaN,NaN,NaN,NaN,NaN,NaN,13.7410958500901,NaN,31.0421313482864,NaN,30.2189484131838,41.7380521028141,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5965772354665,NaN,NaN,NaN,NaN,NaN,NaN,32.090396779338,NaN,NaN,NaN,10.8754354403642,3.05684079318676
85,NaN,NaN,NaN,0.0432885028631491,NaN,NaN,NaN,NaN,51.3406912103123,10.7012414308441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.18404855172213,NaN,NaN,NaN,0.210174414936922,NaN,4.78705505121264,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.0374267977298087,0.0406254871809449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.6926335870687,NaN,36.5936557087397,NaN,2.70690721643725,NaN,NaN
100,0.00348498341820008,NaN,NaN,0.0386295758084679,0.0564499709403947,0.0552299136273977,NaN,28.6452199902579,39.8358755117675,9.71999589772265,0.180640883882443,7.27614802775009,4.74422429859887,29.9124265163795,30.8759311003082,27.4059515191088,42.0030642077399,2.56450710149674,12.8396116757505,8.18622125436135
150,0.0042982411681087,0.016270672077107,0.0176285225371202,0.0200906818072811,0.0386586132330174,0.0438837924089132,0.124728380150778,30.5926419758619,38.1398532078178,7.2954482707986,0.142917328927257,5.7302120326088,3.09897142285309,27.3216600104605,30.3111445695752,28.4185618863689,36.436795431434,1.86991680659599,9.3740799338464,14.7366539228809
200,NaN,0.00893098676689088,0.0124208167773818,0.013455897684668,0.0378200894911911,0.0349452668250921,0.0876410189238278,32.3922175250051,42.3574045303328,7.21751912904607,0.132184280479347,4.53275018668272,2.68205162216871,28.7376685388475,25.9390564057404,30.0574469086523,30.9336154921583,0.959151773044922,7.18516014203805,14.8392297882256
250,0.00478574338884026,0.0135602421954322,0.0133597399644907,0.0176476419178124,0.0359846660674634,0.0378019203691945,0.101626349140649,33.5413715197139,45.3603663619909,4.58584224171062,0.117361810590808,4.53376176089614,3.36834219705799,26.3372155796713,NaN,33.7949715222227,30.1133656487429,1.14908604888015,7.72039828181167,NaN
