t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,261.900620240596,161.607065657765,0.114730390379216,0,0
15,46.0775287554843,NaN,18.2820027642519,NaN,NaN
25,NaN,380.192022297903,NaN,417.635282847357,195.619940472061
35,55.9127625225332,NaN,56.1313479080731,NaN,NaN
50,35.5263897804578,129.637566253314,NaN,215.512766010411,155.229501668377
55,NaN,NaN,46.6370261687318,NaN,NaN
70,106.638082074559,NaN,34.4041750411532,NaN,NaN
75,NaN,NaN,NaN,166.796957485201,NaN
80,NaN,302.626502115362,NaN,NaN,363.610889471879
90,111.563836627569,NaN,75.5458575124669,NaN,NaN
100,84.6817550549885,224.429642151063,70.8905594541184,193.281616882911,241.90500759821
150,113.626308890808,131.859751454033,74.7325048364246,206.185071974951,185.08295763099
200,162.487287297129,125.725817558389,158.280990105603,131.101390498094,585.020716311328
250,126.779407780974,140.375696958725,97.8764929894815,128.558464872531,195.739776866977
300,248.461184305806,181.738346194301,86.0190674619188,507.275175534706,267.813650828592
350,NaN,NaN,92.7925615677155,112.099092261198,351.996563970344
400,49.2965688476288,361.13475969385,106.310040823346,162.46304934322,222.251199164501
450,NaN,459.061180747909,NaN,105.037624617732,NaN
500,NaN,NaN,NaN,NaN,232.302879196456
550,NaN,155.586317168287,NaN,267.816015194993,195.152892338144
650,NaN,242.138197320184,NaN,77.7879466048475,259.265472627176
