t,Compound_2_Obs,Compound_12_Obs
0,84.0817583333565,4.65961584845113
8.5,13.3378931882952,NaN
10,NaN,25.7356929374588
15,4.07427608418362,NaN
20,NaN,29.7370599894678
25,23.0595792093414,NaN
30,NaN,16.4902113395931
35,30.3151982659631,NaN
40,NaN,20.0478838648975
45,48.1399272943841,NaN
55,NaN,18.4981097824546
60,64.9691926130638,NaN
70,NaN,22.8475518284884
75,65.3277603337979,NaN
85,NaN,37.7794633230821
90,64.6258115602825,NaN
100,58.9337640628928,34.2979197186953
150,59.25083978861,33.2658964677297
200,NaN,33.4292519219082
