t,Compound_3_Obs,Compound_10_Obs
0,5.24744967317226,1.65106401678295
55,0.774941111729293,NaN
90,NaN,3.1216039592082
100,1.03196368602232,NaN
150,1.31399742688858,NaN
200,NaN,2.85238052158373
250,1.85818142617277,NaN
300,1.7772382994848,3.29522180116325
400,2.45756722383244,2.90654398662467
500,2.31052395977488,2.50416503160529
600,2.01989920657508,NaN
650,NaN,2.59255490899261
750,1.95032389216637,NaN
800,NaN,2.50523414530184
900,2.63163256816781,NaN
950,NaN,2.68195343275503
1000,NaN,2.44909509797879
1500,NaN,3.28262276944838
