t,epo_level,Compound_1_Obs
14,2.5e-09,1.52876658213954
14,7.905e-09,1.56650101480216
14,1.25e-08,1.29853690229203
14,1.25e-08,1.54996900430545
14,1.25e-08,1.64037635062929
14,1.75e-08,1.55186223048607
14,1.75e-08,1.66543767410284
14,1.75e-08,1.74384755911338
14,2.5e-08,1.52288191293078
14,2.5e-08,1.57355210895342
14,2.5e-08,1.60563752040731
14,3.95e-08,1.39298320324219
14,7.9e-08,1.56491614721159
14,1.25e-07,1.45424971518068
14,1.7675e-07,1.63083932341771
14,2.5e-07,1.85305033172571
14,7.905e-07,1.56642105809895
14,2.5e-06,0.933052486841536
14,2.5e-06,1.83281246550702
14,2.5e-06,2.00575186483425
