t,Compound_7_Obs,Compound_10_Obs
0,0.00809502188410798,17.5277812033645
5.5,0.0075383544041967,NaN
10,0.00482932287469818,NaN
15,0.00368513150620518,NaN
20,NaN,14.9331548942193
25,0.00214930589482563,NaN
30,0.00215617988814545,NaN
40,0.00194679328137652,NaN
45,0.00175523480007296,16.845519781302
60,0.00236113091353182,NaN
70,0.0022935704685025,13.9495726376829
85,0.00170706717422705,NaN
95,NaN,18.2357234215542
150,NaN,17.1714643533311
200,NaN,16.9769637477714
250,NaN,16.4545698983959
300,NaN,20.9467268505476
400,NaN,20.276912313736
