t,Compound_3_Obs,Compound_10_Obs
0,5.61766202178911,2.03773331655028
5,4.25213112379747,NaN
10,5.55543600002915,NaN
15,5.50654296665354,2.18161910618311
20,4.89486407046301,NaN
25,NaN,2.0139637549579
30,5.25549806018815,NaN
35,5.11439718365722,NaN
40,NaN,1.80422931738958
45,4.91356129965874,NaN
55,4.47713641089009,NaN
60,NaN,2.28657254974432
70,6.09056844726204,NaN
75,NaN,1.96482462129079
80,4.92387918493737,NaN
100,NaN,2.40383649406959
150,NaN,2.1196417041984
200,NaN,2.36549108053187
250,NaN,2.45687268974428
300,NaN,2.07428009906887
