t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_9_Obs,Compound_12_Obs
0,1.72483074504403,81.1539841231527,1.24418880541569,0.982790587461859,-0.771413341589739,96.6067658632205,-1.16414315941048
5,NaN,60.7897509050037,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,3.05039115399578,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,8.03090672859017
7.5,NaN,NaN,NaN,NaN,NaN,94.4949713016724,NaN
8.5,NaN,NaN,NaN,NaN,29.2367036773389,NaN,NaN
9,1.49007785786849,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,41.6763171201722,6.27607432815002,0.384309622879346,NaN,NaN,NaN
15,NaN,49.2912545287511,NaN,NaN,26.1273455390374,87.6356875856339,12.4392123778757
20,1.90663221782988,37.4434266249053,9.99709421624039,-0.236757754709126,NaN,NaN,9.58617993110251
25,NaN,52.737201669369,9.55342164311095,NaN,20.0245709084123,74.222050015011,NaN
30,1.49008835435734,NaN,9.4509242885377,NaN,NaN,91.9183542163748,8.98374503931913
35,NaN,49.6779840273014,NaN,1.94737646120877,9.64277402531112,NaN,6.57076054597162
40,1.95731543039346,75.6069551615736,6.91973849255646,NaN,NaN,94.30725305946,NaN
45,NaN,NaN,NaN,4.12569636700105,6.9045850021025,NaN,10.0070186575219
50,NaN,62.5983592830952,5.28285401694266,NaN,NaN,NaN,NaN
55,1.44076119480232,NaN,NaN,NaN,NaN,101.21472630697,9.45974217576694
60,NaN,NaN,2.64676721441179,7.58604255428963,0.150596829052304,NaN,NaN
65,NaN,66.0117681138212,NaN,NaN,NaN,100.233439412552,10.4151615082305
70,1.7993355409963,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,74.5590024414744,2.66782318031433,11.0201530823654,2.40396103452268,NaN,10.9861574831697
80,NaN,NaN,NaN,NaN,NaN,86.550990983154,NaN
85,1.7249692497492,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,68.0831958424729,1.66279707913813,NaN,1.50649948467953,NaN,13.1610296281299
95,NaN,NaN,NaN,9.61782007536299,NaN,NaN,NaN
100,1.7313176121296,NaN,2.07642834333368,12.1978706528249,4.14706606799089,94.7404082029916,9.95649086573726
150,NaN,NaN,NaN,8.60156673837094,4.12770433245974,NaN,11.0701643568716
200,NaN,NaN,NaN,6.1696049641673,NaN,NaN,6.8552713488042
