t,epo_level,Compound_2_Obs,Compound_12_Obs
23,2.5e-09,73.229099380223,1.2927767047645
23,2.5e-09,73.4679811774364,-0.0773031350627646
23,2.5e-09,75.991162717844,2.671736871344
23,2.5e-08,41.9317242999815,9.52238959920764
23,2.5e-08,45.3912771486241,7.4402810173392
23,2.5e-08,50.2138595079543,12.7991153520863
23,1.25e-07,24.5817463039275,19.8000877015549
23,1.25e-07,29.4433100547458,18.1513883760441
23,1.25e-07,33.1569601777562,19.3226740629035
23,2.5e-07,24.5218256369603,21.8170740034602
23,2.5e-07,26.531398770594,23.636718466746
23,2.5e-07,28.0346290425966,22.4299351176917
23,1.25e-06,14.8117581290278,24.4289796578124
23,1.25e-06,15.9688087298394,25.6608553455363
23,1.25e-06,21.3877590711639,24.8387228177723
23,2.5e-06,8.93387359061999,24.6653252077207
23,2.5e-06,13.6846456005539,24.0421699086046
23,2.5e-06,14.6822782715734,23.1528947844718
