t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_12_Obs
0,1.7493624738764,88.7923377430035,78.7652601496935,2.60482770822725,-2.0884235200937,1.33311690782154,-1.837527706657,0.715873567028086,16.6051538475641,22.964514389523,-0.460469563674237
15,NaN,NaN,21.0567892338375,NaN,NaN,15.3801477160065,NaN,NaN,20.1483205299542,NaN,NaN
20,NaN,37.4568464384055,NaN,17.3774247420669,NaN,NaN,50.0226724701245,1.58662664805389,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4571642525137,NaN,NaN
35,NaN,NaN,39.0145487396882,NaN,4.91148365206565,18.9689691827873,NaN,NaN,NaN,NaN,NaN
40,1.60319469120413,63.6560716845765,NaN,NaN,NaN,NaN,18.1479191284279,7.5217533152581,NaN,NaN,14.029909650564
45,NaN,NaN,NaN,9.16569229913235,NaN,NaN,NaN,NaN,28.0896120635097,31.8535314624347,NaN
50,NaN,NaN,61.2455561560704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,14.0311261336702,NaN,NaN,NaN,NaN,NaN
60,NaN,57.3980421125902,NaN,NaN,NaN,NaN,7.6619728767142,NaN,22.9438265967147,NaN,NaN
65,NaN,NaN,NaN,NaN,18.7850794205981,NaN,NaN,7.14030328396478,NaN,NaN,NaN
70,NaN,NaN,NaN,5.0649509185289,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,77.8452790312202,NaN,NaN,7.95874213810615,NaN,NaN,NaN,NaN,NaN
80,1.35305607542043,79.741675833628,NaN,NaN,NaN,NaN,1.77503519331405,NaN,22.8693424968702,NaN,22.2245677539199
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.19011857452679,NaN,41.5869933349476,NaN
95,NaN,NaN,NaN,NaN,NaN,7.07197173555806,NaN,NaN,NaN,NaN,NaN
100,NaN,57.698678653519,62.2632864985325,3.27647275620807,21.3086053394135,2.4793754987082,5.08195930746034,1.80611498296286,22.8040471319953,NaN,NaN
150,1.5445259025383,53.6038446993788,69.3591508192394,4.04785113498393,17.9466620566144,4.18087736245281,6.98118540127704,2.80660659981588,20.9996905073458,34.7851145348498,19.0991310591623
200,1.21777544056897,76.0613297627835,72.804092400669,4.35588727511601,16.5466385935468,4.32106713752306,5.49586966087533,2.82369450572701,23.6265963476807,32.5478943596408,17.9888365590769
250,1.96630856238056,71.4282680107257,NaN,NaN,17.1257158178574,2.73459304025076,6.52933466030389,2.27843095401895,NaN,32.1384594946861,NaN
300,1.26121742525939,NaN,NaN,5.21380634889479,12.3575476392832,NaN,NaN,NaN,NaN,35.6367910800286,12.8744656351013
350,NaN,NaN,NaN,NaN,12.4218006474036,NaN,NaN,NaN,NaN,NaN,15.8423057302872
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.9262077124719,16.6031169868722
450,NaN,NaN,NaN,NaN,12.4747644813119,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6304499590559,15.7166543022826
550,NaN,NaN,NaN,NaN,11.5419926631927,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.8938722378364,13.9018878559079
650,NaN,NaN,NaN,NaN,8.98478935754388,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3220811991836,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.257925400338
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.0857555379103,11.1285324809277
