t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_9_Obs,Compound_12_Obs
0,1.75712969306588,77.2013949343198,74.1099008858632,1.58609600707845,-0.705411842394037,88.2916444712376,-1.27766679276386
4,NaN,NaN,53.1320053982331,NaN,NaN,NaN,NaN
5.5,NaN,49.1110827410077,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,96.0170817486407,NaN
7,1.59511731609175,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,2.04325275492676,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,8.97222338167564
8.5,NaN,NaN,39.4736525991107,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.121066716646022,NaN,NaN
10,NaN,42.1713780897503,NaN,NaN,NaN,NaN,NaN
15,1.149369944931,43.4044638863531,37.1260554449169,8.30141735456844,NaN,92.3255400923369,13.0735010934429
20,1.66838539296479,NaN,38.7180935683949,NaN,0.450349805542292,78.9474915197434,NaN
25,NaN,50.7154756323484,45.7035087188477,10.6034118848212,NaN,97.1052475415871,9.27428732195093
30,1.55890733300082,49.3525487016926,55.196952721634,NaN,1.16772583589266,NaN,NaN
35,NaN,NaN,73.9510834167291,7.65921485676195,NaN,93.0816025282154,8.75967287641932
40,1.40926971536828,63.0055077926801,66.56407856147,NaN,5.12431556357871,NaN,NaN
45,NaN,NaN,NaN,5.6996703893794,NaN,82.2483194181401,7.87667444299087
50,1.77678093058451,81.8429547297136,59.2918131505664,NaN,6.26018184028702,NaN,NaN
55,NaN,NaN,NaN,3.81647475829218,NaN,70.3392367467142,8.56149811102535
60,2.07077371401045,62.2075543403378,60.3103206217171,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,10.2698203734973,90.1680334675125,8.59024732371294
70,NaN,NaN,73.8077262957753,NaN,NaN,NaN,NaN
75,1.48598137012935,85.5240391032025,NaN,2.09699928167286,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,11.1312092256388,74.5128305433185,11.7718006755962
85,NaN,NaN,79.4619463597955,NaN,NaN,NaN,NaN
90,1.703110482431,NaN,NaN,3.17646624025598,NaN,NaN,NaN
95,NaN,73.4515474676878,NaN,NaN,NaN,98.4581126689796,11.3120612227777
100,1.62019847582413,NaN,NaN,2.75377613406798,10.9991740567335,84.1128166085835,9.92512771916311
150,NaN,NaN,NaN,NaN,8.63469450003409,NaN,8.1989225595089
200,NaN,NaN,NaN,NaN,7.67590065943646,NaN,8.52024211506257
