t,epo_level,Compound_2_Obs,Compound_12_Obs
9,2.5e-09,70.0596758678711,-2.56201981799289
9,2.5e-09,70.7669287263754,3.06517967790669
9,2.5e-09,71.7911327742324,1.99628654994939
9,2.5e-08,49.430351123646,3.8510073001986
9,2.5e-08,55.1280289155338,4.91963328130909
9,2.5e-08,56.5031662896579,6.96122346159856
9,2.5e-07,11.0142773504474,24.5120732991027
9,2.5e-07,12.1823029643905,18.1341340491926
9,2.5e-07,14.782047115051,22.7264509568155
9,2.5e-06,-0.598150824841563,28.1794267636824
9,2.5e-06,3.12967164576842,26.4704962758445
9,2.5e-06,12.1900504737404,26.5425462824402
9,2.5e-05,-3.73880566836758,28.6607751711382
9,2.5e-05,0.515900844010399,30.3458051594811
9,2.5e-05,6.96433007794224,28.2275560355008
