t,Compound_3_Obs,Compound_10_Obs
0,75.2710900384592,18.8326440512214
5,94.231979618989,NaN
10,70.5722760446591,NaN
15,81.4260289195976,NaN
20,NaN,13.9987717352219
25,68.3223171094246,NaN
30,77.5849828366959,NaN
40,67.5608891557094,18.680888800449
45,75.9761196246392,NaN
60,69.4392087161334,18.8239122482364
70,87.3051385067539,NaN
85,67.3485592508904,21.9676401895316
100,NaN,20.4854176681179
150,NaN,18.6102228682011
200,NaN,19.6796249173945
250,NaN,20.4688363608403
300,NaN,16.9286175136047
400,NaN,19.0574576059589
