t,Rec_i_Obs,pSTAT5_Obs,SOCS3_Obs
0,157.841444395971,13.3581231633025,4.14185467399887
10,NaN,26.534947526495,NaN
15,139.822524319598,NaN,23.3660921724159
25,NaN,67.5953512987284,23.1603702375649
30,136.764786976415,NaN,NaN
40,NaN,84.5114525075533,74.2514372720634
45,135.13610934431,NaN,NaN
50,NaN,74.9579029360986,NaN
55,NaN,NaN,117.210595878032
65,131.92323378606,NaN,NaN
70,NaN,104.554831981321,157.352237099744
85,NaN,78.0521842415416,NaN
90,151.521766712407,NaN,190.852228501672
100,139.117352597918,85.7048371778588,212.383175422069
150,142.522599142299,70.4433195355436,227.269593508195
200,138.555520565769,78.9105883013416,232.599920641132
250,135.280980903312,68.9582185303533,224.110544542972
300,116.057459376926,64.5934231300136,247.081371937702
