t,Rec_i_Obs,JAK2_Obs,pSTAT5_Obs,SOCS3_Obs
0,149.387529223149,2.86793784404773,-2.32957093997407,-0.528250251153176
10,NaN,1.69732964487351,9.66127103296887,NaN
15,146.010012106998,NaN,NaN,15.256988720438
20,NaN,1.28954604897044,NaN,NaN
25,161.286600951249,NaN,49.0423969298385,NaN
30,NaN,NaN,NaN,25.2461657306861
35,NaN,1.29389040334849,63.7586014819559,NaN
40,128.686815050238,NaN,NaN,NaN
45,NaN,1.06220994490015,NaN,63.3254675948831
50,NaN,NaN,71.0299127582394,NaN
55,156.220245883398,NaN,NaN,NaN
60,NaN,1.83212092077174,NaN,95.9615377675859
65,NaN,NaN,70.0095985407722,NaN
70,149.631565199351,NaN,NaN,NaN
75,NaN,2.0053425409594,NaN,NaN
80,NaN,NaN,67.6125937395131,155.31401085901
90,134.143236736981,2.05295961597819,NaN,NaN
100,158.440308589329,1.90139866759183,62.9825598547069,173.646752436871
150,157.578373317241,2.29074159026305,51.8484873111828,218.518911871104
200,136.65160952076,2.53418697530774,45.2620938687371,249.920714320284
250,145.628644380198,NaN,39.8178746611665,216.369495622966
300,131.146880242995,NaN,41.127119695445,246.986996773362
