t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,-669251.992689736,-6.76847942048834e-06,0.032972056725661,291.77366410034,-0.00108575479456287
35,6065549.41421519,NaN,NaN,NaN,NaN
70,7987181.33557282,NaN,NaN,NaN,NaN
100,7229299.75955391,NaN,NaN,NaN,NaN
150,3945336.32618258,NaN,NaN,181.363473536257,NaN
200,2387156.18077722,NaN,NaN,NaN,NaN
250,391553.079125971,0.000145680950644222,NaN,NaN,NaN
300,350753.870882508,NaN,NaN,310.501583826771,NaN
350,1221537.42352145,NaN,0.0184404145316377,NaN,NaN
400,-170958.597293826,NaN,NaN,NaN,NaN
450,245092.691465186,NaN,NaN,211.942380520671,NaN
500,NaN,NaN,NaN,NaN,0.00833268745212797
550,94462.7608478646,8.92803001127157e-06,NaN,NaN,NaN
600,NaN,NaN,NaN,279.504588678266,NaN
650,112852.073939695,NaN,NaN,NaN,NaN
700,NaN,NaN,0.0130564263641315,NaN,NaN
800,-112640.740090279,NaN,NaN,325.411812271711,NaN
850,NaN,1.16048367340756e-05,NaN,NaN,NaN
1000,NaN,2.6346121226323e-06,0.0289577238528613,272.308761025056,0.00707342912610782
1500,NaN,-1.04402267454946e-06,0.0244445968150651,291.866999032961,0.00480947735812001
2000,NaN,6.32376049081092e-08,0.02216641619043,240.002310050334,NaN
2500,NaN,NaN,0.0305783325142567,264.214503190744,0.0039698002137898
3000,NaN,NaN,0.0305283624484607,223.828920587803,0.00394626275888909
3500,NaN,NaN,NaN,292.94665680212,NaN
4000,NaN,NaN,0.0226792593078046,NaN,0.0039782499399899
4500,NaN,NaN,0.0314548333672937,NaN,0.00210786452713332
5500,NaN,NaN,0.0260326484244792,NaN,NaN
6000,NaN,NaN,NaN,NaN,0.000490559075071139
7000,NaN,NaN,NaN,NaN,0.000779581428393767
8500,NaN,NaN,NaN,NaN,0.000454818551606051
