t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,7559.17619353533,-6.34356287746393e-06,0.0423450216067458,291.69432760237,0.000691413883117787
50,NaN,NaN,NaN,249.062845588789,NaN
100,NaN,NaN,NaN,258.097787621137,NaN
150,NaN,NaN,NaN,147.405541171869,NaN
200,NaN,NaN,NaN,228.239347964052,NaN
250,NaN,0.000172658439540129,NaN,NaN,NaN
300,299691.951071846,NaN,NaN,268.6745832052,NaN
400,NaN,NaN,NaN,321.728522861031,NaN
450,NaN,NaN,NaN,299.962570305799,NaN
500,NaN,0.000103307193637555,NaN,NaN,0.00254294698140395
550,NaN,NaN,0.025041457015307,NaN,NaN
600,164543.273449443,NaN,NaN,NaN,NaN
800,NaN,6.42073320456994e-05,NaN,NaN,NaN
950,121888.549335627,NaN,NaN,NaN,NaN
1000,NaN,3.44576939504423e-05,0.0178898611442816,NaN,0.00596373341776281
1500,46304.7052978464,1.80836997037194e-05,0.0354464941584798,NaN,0.0048953688782582
2000,37760.416377853,-6.22196109054994e-07,NaN,NaN,0.00560020704766106
2500,55.4505478394713,NaN,0.032473164459552,NaN,0.00367948972444917
3000,14900.7358109149,NaN,0.033223626703044,NaN,NaN
3500,NaN,NaN,NaN,NaN,0.0021356471725411
4000,NaN,NaN,0.03433606697526,NaN,0.00215027946634273
5000,NaN,NaN,0.0417222312586336,NaN,0.00153049222699321
6000,NaN,NaN,0.0368259993118693,NaN,0.000426959716638181
7000,NaN,NaN,0.0411788715950982,NaN,NaN
7500,NaN,NaN,NaN,NaN,0.000958333368111547
8500,NaN,NaN,0.0333909895554468,NaN,0.000250195868937997
