t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,492550.766021092,8.30619286403827e-06,0.0397925264889855,320.792666719566,-0.000824152163893479
60,4079984.55890384,NaN,NaN,NaN,NaN
100,5436222.71087961,NaN,NaN,328.706696637801,NaN
200,3215631.89461056,0.000347274183453747,NaN,122.549977769846,NaN
250,2193110.50249896,NaN,NaN,NaN,NaN
350,187966.381099468,NaN,NaN,257.807227244293,NaN
400,NaN,7.25153576062046e-05,NaN,NaN,NaN
450,-225300.215217189,NaN,0.0174850800778573,192.416340198715,0.00987521072596256
550,-62879.5499302721,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,245.30453926536,NaN
650,223250.769159123,6.1279252877136e-06,NaN,NaN,NaN
800,288750.62364637,NaN,NaN,280.117384392438,NaN
900,NaN,-3.38207082061226e-06,0.0266539484108223,NaN,NaN
950,NaN,NaN,NaN,NaN,0.00899950752863442
1000,29108.7766029545,1.03634963098957e-05,NaN,295.118989530249,NaN
1500,NaN,7.62306748227158e-07,0.0191277426661434,231.570527906147,0.00912181128348447
2000,NaN,2.12133351687994e-05,0.0308041278773645,NaN,0.00664577901430391
2500,NaN,NaN,0.0346890857971118,NaN,0.00472650609278583
3000,NaN,NaN,0.0289911699810734,NaN,NaN
3500,NaN,NaN,NaN,NaN,0.00228037663639531
4000,NaN,NaN,0.0254488804335864,NaN,0.0021890586544111
5000,NaN,NaN,0.0274933028026228,NaN,0.000151814635422137
6000,NaN,NaN,0.0232028318864753,NaN,0.00187864579345235
7000,NaN,NaN,0.0311467774002237,NaN,0.0007659559105437
8500,NaN,NaN,NaN,NaN,0.00100397257186694
