t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,231632.660295869,3.44607573796838e-06,0.0249112026076212,335.775639842758,0.00126790534652591
70,NaN,NaN,NaN,217.577481824353,NaN
100,2319551.65590884,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,254.27138696549,NaN
200,2161233.55227473,NaN,NaN,328.036731481588,NaN
300,NaN,NaN,NaN,262.619689094843,NaN
350,1081228.14373112,NaN,NaN,NaN,NaN
400,NaN,0.000201082517299905,NaN,286.719287016418,NaN
450,709796.231592849,NaN,0.0114162839779392,NaN,0.00839960888738723
500,NaN,NaN,NaN,320.689867764737,NaN
600,361241.508176753,NaN,NaN,314.4221607799,NaN
750,NaN,NaN,NaN,268.811984769326,NaN
800,92733.1671562224,NaN,NaN,NaN,NaN
850,NaN,4.00974253244691e-05,NaN,NaN,NaN
900,NaN,NaN,0.0246894448637325,NaN,NaN
950,NaN,NaN,NaN,262.228408089651,0.010177881357118
1000,-94602.8042713802,NaN,NaN,199.864718320843,NaN
1500,NaN,1.60202547528472e-06,0.0241072118917941,NaN,0.00851408296176231
2000,NaN,-3.91558468203115e-06,0.0264018469907602,NaN,0.00798995611629633
2500,NaN,-5.7403379743761e-06,0.0399243834078847,NaN,0.00513718478436635
3000,NaN,7.59331001170766e-06,0.0379022499151509,NaN,NaN
3500,NaN,NaN,NaN,NaN,0.00250622479417803
4000,NaN,NaN,0.0247376880665052,NaN,0.00300877809711164
5000,NaN,NaN,0.0344434670737724,NaN,0.00234018544710262
6000,NaN,NaN,0.0232783366802128,NaN,0.00111057610166578
7000,NaN,NaN,NaN,NaN,-0.000278457765063133
7500,NaN,NaN,0.0328364727581309,NaN,NaN
8500,NaN,NaN,NaN,NaN,0.000597783888195038
