t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,21598.1100490375,4.97154088485839e-06,0.0318458308166806,299.417692001505,0.00081580046699005
70,NaN,NaN,NaN,197.18379699064,NaN
150,1041658.4234931,NaN,NaN,286.256395300858,NaN
200,NaN,NaN,NaN,299.788513000504,NaN
300,NaN,NaN,NaN,264.462565255787,NaN
350,715825.028327834,NaN,NaN,NaN,NaN
400,NaN,0.000208774415489945,NaN,298.594196628752,NaN
450,NaN,NaN,0.01720389860822,NaN,0.0056838149576985
500,NaN,NaN,NaN,227.475027302053,NaN
550,485860.60498405,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,250.658766101875,NaN
750,175467.100857093,8.13750620672441e-05,NaN,359.058503576379,NaN
900,NaN,NaN,NaN,219.06841671056,NaN
950,NaN,NaN,0.0191250579930299,NaN,0.0086797084046558
1000,177855.84233853,6.11942505412123e-05,NaN,232.172478823849,NaN
1500,-68526.5586535103,2.57553315310727e-06,0.022742048687832,NaN,0.00766519797772318
2000,NaN,9.44955928815879e-06,0.0184577727206675,NaN,0.00731796767035675
2500,NaN,NaN,0.0305236733899413,NaN,0.00558072079546633
3000,NaN,1.05325641859355e-05,NaN,NaN,NaN
3500,NaN,-6.45311131177471e-06,0.0234635637213593,NaN,0.00395209330693486
4000,NaN,NaN,0.0226795100356641,NaN,0.00371227382342429
4500,NaN,-7.36247707522238e-06,NaN,NaN,NaN
5000,NaN,NaN,0.0360664232526227,NaN,0.0012223391907365
5500,NaN,-2.66353247164501e-06,NaN,NaN,NaN
6000,NaN,NaN,0.0307293917604567,NaN,0.00235986855426989
7000,NaN,NaN,NaN,NaN,0.00204108195261051
7500,NaN,NaN,0.0303203984095483,NaN,NaN
8500,NaN,NaN,0.0298089565327624,NaN,0.00110477587299469
