t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs
0,401619.259285545,-8.36680840088558e-07,0.0374445462939765,215.447594182082,0.000187731739552471
45,8913827.23649295,NaN,NaN,NaN,NaN
90,7052816.08577203,NaN,NaN,NaN,NaN
150,3138517.1085881,NaN,NaN,280.313304604364,NaN
200,1619858.15319642,0.000191952820252101,NaN,NaN,NaN
250,627652.10992623,NaN,NaN,NaN,NaN
300,-147319.958813035,NaN,0.0172266864735947,NaN,NaN
350,NaN,NaN,NaN,276.225334731447,NaN
400,253095.568886717,NaN,NaN,NaN,NaN
450,142768.470887889,1.22403944073454e-05,NaN,NaN,0.00897046819649419
500,NaN,NaN,NaN,233.873800665947,NaN
550,-58395.9641775038,NaN,NaN,NaN,NaN
650,96677.3866758892,NaN,0.0246349845332212,NaN,NaN
700,NaN,NaN,NaN,325.536517232026,NaN
750,NaN,2.65994862510682e-06,NaN,NaN,NaN
800,142206.822731629,NaN,NaN,NaN,NaN
950,-245305.511163527,NaN,NaN,283.487685147163,0.00729301198417906
1000,NaN,-4.81351554129794e-06,0.0230766591379938,226.808969149346,NaN
1500,NaN,-8.57616870831016e-06,0.0234801621585271,268.905694125027,0.00565266335037887
2000,NaN,1.06294147241987e-05,0.0306396826122603,325.260900022796,0.00536305932446991
2500,NaN,NaN,0.0312588353589718,267.821192762952,0.00499787284401593
3000,NaN,NaN,0.0216067574454892,NaN,0.00275225863983421
3500,NaN,NaN,0.0254023884862697,199.011861238374,NaN
4000,NaN,NaN,0.0361413119661103,NaN,0.0035664629621427
5000,NaN,NaN,0.0302651035873529,NaN,0.00248881022980482
6000,NaN,NaN,NaN,NaN,0.0025681434449753
7000,NaN,NaN,NaN,NaN,0.00202953180316216
8500,NaN,NaN,NaN,NaN,0.000363272092614705
