t,Naive_Obs,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs,Compound_1_Obs
0,8825.59170307642,-430.273638411544,143.520510611372,1.14142592088581,7772.6236278216
2,NaN,NaN,NaN,1.07377412950403,NaN
2.5,1932.5559039336,602.808208234129,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,1259.40376259748
3.5,NaN,NaN,1301.19365713137,NaN,NaN
4.5,786.674318025851,69.6163434546918,NaN,1.05235258599854,NaN
5.5,NaN,NaN,NaN,NaN,-1025.73961289836
7,NaN,NaN,381.327167416317,2.03834125966163,NaN
7.5,223.365657253166,2107.03076292353,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,5702.93110065159
9.5,NaN,NaN,NaN,1.70655678577118,NaN
10,-191.922898821755,8294.20075267085,554.160232349653,1.78570131435719,11482.5856498918
15,497.291323817316,6082.19327949121,3115.57524993147,-0.00964846622855797,18027.698654624
20,-306.782199015777,722.93123301727,4484.56874664739,-0.0242908586820123,13247.691070486
25,NaN,-43.1268627099348,4432.4235566652,-0.269310480709794,10087.267087796
30,NaN,NaN,NaN,-0.174293210673824,NaN
35,NaN,744.321114038202,5474.772052107,0.198989918004619,9647.7882503526
40,NaN,NaN,NaN,NaN,7922.2990948089
45,NaN,NaN,7563.95015083499,NaN,NaN
55,NaN,NaN,5755.90808462911,NaN,NaN
70,NaN,NaN,7988.13675101878,NaN,NaN
