t,K27me0K36me0_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00478248592764357,0.00282323509436481,0.147440672580855,0.0113889310728079,0.0103341324605246,0.0715200955339252,0.527354718175752,0.0355711429161649,0.00594240399712101,0.272599699467031,0.00986566833531662,0.0037205594761765,0.0121523505833623,0.00278045856297145
0.25,0.000685571877922852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.55,0.000113436626172869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.85,9.12285640370277e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1.52430091662879e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,3.49619958271622e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5.67178052554119e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,9.29498063915273e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7.05318979534719e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,0.00201046003013529,0.0534940625586543,0.00362082247387132,NaN,0.0407624103094472,NaN,NaN,NaN,NaN,0.0851347856934584,NaN,0.00167276453055732,0.0012197202894619
4,NaN,NaN,NaN,NaN,0.004695855678757,NaN,0.485920752306613,NaN,0.00448431046664974,0.101417081437658,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00301222597034285,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0717453121202401,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,0.00158312559202406,0.101211226600569,0.0169585334121797,NaN,NaN,NaN,NaN,NaN,NaN,0.0231066243866203,NaN,0.016183344867709,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.0644960230321067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026157680133645
8,NaN,NaN,NaN,NaN,0.00684477323355319,NaN,0.422824135244626,NaN,0.00346382076953399,0.152886331051046,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00280227252415697,NaN,NaN
10,NaN,0.00149652048744409,0.0322342050715876,0.0101506026815306,NaN,0.0375367582130691,0.752472917114691,0.0189662505051343,NaN,NaN,0.0126460168143335,NaN,0.0221918778125814,0.00315639911823483
15,NaN,0.00307234322572323,0.0836887869453665,0.00875803921803138,0.0104490431543176,0.0374339700147308,0.486350764628081,0.0337655619237366,0.00524114133012752,0.329410384962097,0.030533428750219,0.00861113242347886,0.0104725504921529,0.00173020321559322
20,NaN,0.00128092022238755,0.0281452343382504,0.0100818907637635,0.00718005234678919,0.0975482646175499,NaN,NaN,0.00218333832675855,0.184088019910572,0.0262914289672617,0.00471026279207718,0.00878466433836046,0.00260515440714865
25,NaN,0.0012991819280102,0.0311727097454255,0.0176223405474504,0.012007451949574,0.0727631113194345,0.635155889602166,0.0164590568001339,0.00667201967013311,0.157278089426462,0.0391549052228641,NaN,0.00636744859653295,0.00295426442038299
30,NaN,0.00189978277470298,NaN,0.0109467206552369,0.0050097511914742,NaN,0.893214344938892,NaN,0.00349262581218952,0.100409400903101,NaN,0.00669887951493285,NaN,NaN
35,NaN,0.00284518496973302,0.0184843903721907,0.0101779542802957,NaN,0.037762820352168,NaN,0.0453230165677316,NaN,NaN,0.0336176679645381,0.00314657871705843,0.0140602080292074,0.00283054324811197
40,NaN,NaN,0.0104018293914858,NaN,0.0165080266596423,0.0368306666046421,0.440224072632515,NaN,0.0150035258463022,0.229133333396671,0.0493648655404003,NaN,0.0127039663152589,0.00264973384402641
45,NaN,0.00153491100924197,NaN,0.0152334534032921,NaN,NaN,NaN,0.050496950450832,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,0.00120193164065502,0.00872148506973106,0.0144252064529875,0.0184812035775389,0.0293932751778231,1.14537966251791,NaN,0.00533057131386949,0.107850740943462,0.0481769083318279,0.00419777111330971,0.0253748744478963,0.00277127748575776
60,NaN,0.00226414705778276,0.00465868567846518,0.00980332579638507,0.00735600638607612,0.0125719223694228,0.718445519096115,0.0155789162098226,0.00535265163414907,0.107857061152187,0.05409445388503,0.00354799940325337,0.0240224688683709,0.00204133390026498
