t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.71270654275183,0,0.000981310001230934,0.946416882830988
50,NaN,NaN,0.897476235422898,NaN
60,NaN,0.174220426680246,NaN,NaN
65,1.42796658706668,NaN,NaN,NaN
75,NaN,NaN,NaN,0.682645224216794
100,NaN,0.122560170991681,0.915163427324932,NaN
150,1.4687243034825,NaN,0.705926155553997,0.675347628415125
200,1.18696784320103,0.054679880272401,0.445574465093589,NaN
250,1.20007667864646,0.0486295852605591,0.362377429221219,0.559375466364377
300,NaN,0.0308508159348963,NaN,0.406058148412607
350,1.02856587817175,NaN,0.190983852278379,NaN
400,NaN,0.0155605765967912,0.170094796824631,0.409989463332765
450,1.08514079778002,NaN,NaN,NaN
500,NaN,0.00897723439139339,0.0984391853985286,NaN
550,1.12899259501137,NaN,NaN,0.329577533450287
600,NaN,0.0051194140224412,0.0587443643419571,NaN
650,NaN,NaN,NaN,0.358182311565584
700,0.874325580937905,NaN,0.0311153076779668,NaN
750,NaN,0.0020686129806956,NaN,NaN
800,NaN,NaN,NaN,0.406204739397692
850,0.891428039716528,NaN,0.0141983638734714,NaN
900,NaN,0.00105717785822743,NaN,NaN
1000,0.998683091376365,0.000665534681530793,0.00671329321697211,0.514403502229502
1500,NaN,NaN,NaN,0.887711412614818
