t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.65569848422497,0,0.000929198909029115,1.04981733393526
55,NaN,NaN,0.930203204081114,NaN
60,1.45331092781254,0.15688639407314,NaN,NaN
75,NaN,NaN,NaN,0.878494263936326
100,1.46727046130457,0.116044526298234,0.794602464942019,NaN
150,NaN,NaN,0.643258588875569,0.555591248631331
200,1.28569983255736,0.0574089743152603,NaN,NaN
250,0.978096357346541,0.0408485962744259,0.39019222811993,0.591266081602046
300,NaN,NaN,0.318228177004044,0.551511016882292
350,1.03469797758991,0.0200993466421914,NaN,NaN
400,NaN,0.0139806708021071,0.170500090257705,0.520690749504271
450,1.15544000594729,NaN,NaN,NaN
500,NaN,0.00841058641661619,0.0877177848217268,NaN
550,0.87976438561415,NaN,NaN,0.518133330112014
600,NaN,NaN,0.046704925996053,NaN
650,1.16771575275995,0.00406536926288254,NaN,0.547398322206274
700,NaN,NaN,0.0315917698775374,NaN
750,NaN,0.00239978405868019,NaN,NaN
800,0.988407706123674,NaN,NaN,0.653095102665683
850,NaN,NaN,0.0159445879274767,NaN
950,NaN,0.0007005024397684,NaN,NaN
1000,0.995913933035347,0.000602196000368788,0.00749249492970095,0.677681081928394
1500,NaN,NaN,NaN,0.939033491203931
