t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,2.27172813850632,0,0.00939680514297306,0.966542973142708
45,NaN,NaN,14.062813078771,NaN
55,NaN,0.142366292094147,NaN,NaN
75,1.66502210078965,NaN,NaN,NaN
85,NaN,NaN,NaN,0.625260504141243
90,NaN,NaN,11.9636750881571,NaN
100,NaN,0.154432672052552,NaN,NaN
150,1.03337892981918,0.087196155915448,10.2040297555328,0.52006638234165
200,NaN,NaN,9.0602268413655,NaN
250,1.10550981738411,0.0378955440514968,5.67567115486654,0.451522170274557
300,1.12856279060606,0.0302501534618147,4.66851653147122,NaN
350,NaN,NaN,2.79436459641289,0.300260388943107
400,1.106898719967,0.0167635333134815,NaN,NaN
450,NaN,0.011655792949147,1.74588681334227,0.219824907615325
500,1.21660029903559,NaN,NaN,NaN
550,NaN,0.0073951866884367,1.10552421037214,NaN
600,NaN,NaN,NaN,0.23508403683326
650,1.09544943142455,0.00412576436490151,0.550703693043987,NaN
750,NaN,NaN,0.40365247656423,0.24207645372579
800,1.14206297640137,0.00181771436128967,NaN,NaN
950,NaN,0.000822300473872227,0.150904948227348,0.417676116980488
1000,0.975043642311656,0.000600855180347497,NaN,0.553058644996431
1500,0.935730315167739,NaN,NaN,0.812230392574512
